Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,viewingHint,Text direction,Visibility,IIIF Range,Title,Alt ID.local,Description.note,Opac url,Format.extent,Date.creation,Place of Origin,Bucketeer State,IIIF Access URL,IIIF Manifest URL,
Aldine Collection,ark:/21198/zz002h33cs,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0001_frontcover.tif,1,,,,,,,,frontcover,YRLSC_Z233_A4_M468_1547_0001_frontcover,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33cs,,
Aldine Collection,ark:/21198/zz002h33d9,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0002_insidefrontcover.tif,2,,,,,,,,insidefrontcover,YRLSC_Z233_A4_M468_1547_0002_insidefrontcover,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33d9,,
Aldine Collection,ark:/21198/zz002h33ft,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0003_flyleaf_001r.tif,3,,,,,,,,flyleaf_001r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33ft,,
Aldine Collection,ark:/21198/zz002h33gb,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0004_flyleaf_001v.tif,4,,,,,,,,flyleaf_001v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33gb,,
Aldine Collection,ark:/21198/zz002h33hv,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0005_flyleaf_002r.tif,5,,,,,,,,flyleaf_002r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33hv,,
Aldine Collection,ark:/21198/zz002h33jc,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0006_flyleaf_002v.tif,6,,,,,,,,flyleaf_002v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33jc,,
Aldine Collection,ark:/21198/zz002h33kw,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0007_titlepage_001r.tif,7,,,,,,,,titlepage_001r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33kw,,
Aldine Collection,ark:/21198/zz002h33md,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0008_titlepage_001v.tif,8,,,,,,,,titlepage_001v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33md,,
Aldine Collection,ark:/21198/zz002h33nx,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0009_001r.tif,9,,,,,,,,001r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33nx,,
Aldine Collection,ark:/21198/zz002h33pf,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0010_001v.tif,10,,,,,,,,001v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33pf,,
Aldine Collection,ark:/21198/zz002h33qz,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0011_002r.tif,11,,,,,,,,002r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33qz,,
Aldine Collection,ark:/21198/zz002h33rg,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0012_002v.tif,12,,,,,,,,002v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33rg,,
Aldine Collection,ark:/21198/zz002h33s0,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0013_003r.tif,13,,,,,,,,003r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33s0,,
Aldine Collection,ark:/21198/zz002h33th,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0014_003v.tif,14,,,,,,,,003v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33th,,
Aldine Collection,ark:/21198/zz002h33v1,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0015_004r.tif,15,,,,,,,,004r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33v1,,
Aldine Collection,ark:/21198/zz002h33wj,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0016_004v.tif,16,,,,,,,,004v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33wj,,
Aldine Collection,ark:/21198/zz002h33x2,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0017_005r.tif,17,,,,,,,,005r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33x2,,
Aldine Collection,ark:/21198/zz002h33zk,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0018_005v.tif,18,,,,,,,,005v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h33zk,,
Aldine Collection,ark:/21198/zz002h340k,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0019_006r.tif,19,,,,,,,,006r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h340k,,
Aldine Collection,ark:/21198/zz002h3413,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0020_006v.tif,20,,,,,,,,006v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h3413,,
Aldine Collection,ark:/21198/zz002h342m,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0021_007r.tif,21,,,,,,,,007r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h342m,,
Aldine Collection,ark:/21198/zz002h3434,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0022_007v.tif,22,,,,,,,,007v,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h3434,,
Aldine Collection,ark:/21198/zz002h344n,ark:/21198/zz002h32z3,10,Completed with minimal metadata,Page,aldine/image/YRLSC_Z233_A4_M468_1547_0023_008r.tif,23,,,,,,,,008r,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h344n,,
