File Name,Item Sequence,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Bucketeer State,IIIF Access URL
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_001.tif,1,Front cover,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/sw43zc5x,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fsw43zc5x
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_002.tif,2,Inside front cover,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/h008p740,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fh008p740
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_003.tif,3,Flyleaf 1r,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/hq11sf52,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fhq11sf52
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_004.tif,4,Flyleaf 1v,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/pp08t512,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fpp08t512
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_005.tif,5,Flyleaf 2r,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/r561km34,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fr561km34
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_006.tif,6,Flyleaf 2v,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/m130cp0d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fm130cp0d
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_007.tif,7,Flyleaf 3r,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/t782tc9s,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Ft782tc9s
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_008.tif,8,Flyleaf 3v,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/sp936f14,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fsp936f14
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_009.tif,9,Half-title,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/sm13n143,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fsm13n143
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_010.tif,10,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/cp48h463,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fcp48h463
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_011.tif,11,Title page,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/nr369p11,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fnr369p11
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_012.tif,12,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/rr78jz2d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Frr78jz2d
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_013.tif,13,Dissertation sur les ceremonies des Catholiques Romains: Quatrieme partie,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/dx14801w,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fdx14801w
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_014.tif,14,Page 2,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/zb31w08j,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fzb31w08j
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_015.tif,15,Page 3,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/zq12hq98,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fzq12hq98
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_016.tif,16,Page 4,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/5c072v0v,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2F5c072v0v
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_017.tif,17,Page 5,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/rf63pv27,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Frf63pv27
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_018.tif,18,Page 6,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/z361dk5q,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fz361dk5q
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_019.tif,19,Page 7,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/k366wj5c,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fk366wj5c
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_020.tif,20,Page 8,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/m8574s4q,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fm8574s4q
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_021.tif,21,[ENGRAVING],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/kw38b18z,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fkw38b18z
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_022.tif,22,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/b6006w3s,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fb6006w3s
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_023.tif,23,Page 9,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/s771nv2w,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fs771nv2w
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_024.tif,24,Page 10,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/wc64p29k,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fwc64p29k
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_025.tif,25,Page 11,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/ck25d84d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fck25d84d
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_026.tif,26,Page 12,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/bd72978m,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fbd72978m
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_027.tif,27,[ENGRAVING],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/pv76649b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fpv76649b
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_028.tif,28,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/sm345887,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fsm345887
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_029.tif,29,Page 13,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/6322kf8x,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2F6322kf8x
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_030.tif,30,Page 14,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/wk08jp29,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fwk08jp29
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_031.tif,31,Page 15,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/s443cg78,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fs443cg78
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_032.tif,32,Page 16,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/9061d66n,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2F9061d66n
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_033.tif,33,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/bj85m03b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fbj85m03b
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_034.tif,34,[ENGRAVING],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/zf11hg76,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fzf11hg76
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_035.tif,35,[ENGRAVING],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/sc574f15,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fsc574f15
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_036.tif,36,[blank],,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/h882m226,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fh882m226
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_037.tif,37,Page 17,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/jm63x35t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fjm63x35t
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_038.tif,38,Page 18,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/pw77w43t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fpw77w43t
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_039.tif,39,Page 17 - insert,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/p2610p18,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fp2610p18
picart/masters/fre_aju/fre_aju_v2/aju_picart_v02_040.tif,40,Page 18 - insert,,,ark:/21198/z1dr4ntb,ark:/21198/z1dr4ntb/md08cv5d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4ntb%2Fmd08cv5d
