File Name,Item Sequence,Title,IIIF Range,viewingHint,Parent ARK,Item ARK,Object Type,Bucketeer State,IIIF Access URL
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_023.tif,23,Page 11,,,ark:/21198/z1903x57,ark:/21198/z1903x57/wc64p29k,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fwc64p29k
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_024.tif,24,Page 12,,,ark:/21198/z1903x57,ark:/21198/z1903x57/ck25d84d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fck25d84d
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_025.tif,25,Page 13,,,ark:/21198/z1903x57,ark:/21198/z1903x57/bd72978m,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fbd72978m
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_026.tif,26,Page 14,,,ark:/21198/z1903x57,ark:/21198/z1903x57/pv76649b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fpv76649b
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_027.tif,27,Page 15,,,ark:/21198/z1903x57,ark:/21198/z1903x57/sm345887,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fsm345887
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_028.tif,28,Page 16,,,ark:/21198/z1903x57,ark:/21198/z1903x57/6322kf8x,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F6322kf8x
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_029.tif,29,Page 17,,,ark:/21198/z1903x57,ark:/21198/z1903x57/wk08jp29,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fwk08jp29
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_030.tif,30,Page 18,,,ark:/21198/z1903x57,ark:/21198/z1903x57/s443cg78,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fs443cg78
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_031.tif,31,Page 19,,,ark:/21198/z1903x57,ark:/21198/z1903x57/9061d66n,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F9061d66n
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_032.tif,32,Page 20,,,ark:/21198/z1903x57,ark:/21198/z1903x57/bj85m03b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fbj85m03b
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_033.tif,33,Page 21,,,ark:/21198/z1903x57,ark:/21198/z1903x57/sm99jb61,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fsm99jb61
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_034.tif,34,Page 22,,,ark:/21198/z1903x57,ark:/21198/z1903x57/zf11hg76,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fzf11hg76
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_035.tif,35,Page 23,,,ark:/21198/z1903x57,ark:/21198/z1903x57/sc574f15,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fsc574f15
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_036.tif,36,Page 24,,,ark:/21198/z1903x57,ark:/21198/z1903x57/h882m226,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fh882m226
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_037.tif,37,Page 25,,,ark:/21198/z1903x57,ark:/21198/z1903x57/jm63x35t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fjm63x35t
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_038.tif,38,Page 26,,,ark:/21198/z1903x57,ark:/21198/z1903x57/pw77w43t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fpw77w43t
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_039.tif,39,Page 27,,,ark:/21198/z1903x57,ark:/21198/z1903x57/p2610p18,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fp2610p18
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_040.tif,40,Page 28,,,ark:/21198/z1903x57,ark:/21198/z1903x57/md08cv5d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fmd08cv5d
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_041.tif,41,Page 29,,,ark:/21198/z1903x57,ark:/21198/z1903x57/g614hp1z,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fg614hp1z
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_042.tif,42,Page 30,,,ark:/21198/z1903x57,ark:/21198/z1903x57/r9598n03,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fr9598n03
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_043.tif,43,Page 31,,,ark:/21198/z1903x57,ark:/21198/z1903x57/k545md98,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fk545md98
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_044.tif,44,Page 32,,,ark:/21198/z1903x57,ark:/21198/z1903x57/x5593c59,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fx5593c59
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_045.tif,45,Page 33,,,ark:/21198/z1903x57,ark:/21198/z1903x57/c9031r31,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fc9031r31
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_046.tif,46,Page 34,,,ark:/21198/z1903x57,ark:/21198/z1903x57/zj87847s,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fzj87847s
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_047.tif,47,Page 35,,,ark:/21198/z1903x57,ark:/21198/z1903x57/6300vb66,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F6300vb66
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_048.tif,48,Page 36,,,ark:/21198/z1903x57,ark:/21198/z1903x57/0884z11z,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F0884z11z
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_049.tif,49,Page 37,,,ark:/21198/z1903x57,ark:/21198/z1903x57/t8850w1h,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Ft8850w1h
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_050.tif,50,Page 38,,,ark:/21198/z1903x57,ark:/21198/z1903x57/bf04cv88,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fbf04cv88
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_051.tif,51,Page 39,,,ark:/21198/z1903x57,ark:/21198/z1903x57/px593d13,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fpx593d13
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_052.tif,52,Page 40,,,ark:/21198/z1903x57,ark:/21198/z1903x57/kg43jz48,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fkg43jz48
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_053.tif,53,Page 41,,,ark:/21198/z1903x57,ark:/21198/z1903x57/vs11sh9q,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fvs11sh9q
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_054.tif,54,Page 42,,,ark:/21198/z1903x57,ark:/21198/z1903x57/8366cz20,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F8366cz20
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_055.tif,55,Page 43,,,ark:/21198/z1903x57,ark:/21198/z1903x57/k180cx3t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fk180cx3t
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_056.tif,56,Page 44,,,ark:/21198/z1903x57,ark:/21198/z1903x57/1p96s798,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F1p96s798
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_057.tif,57,Page 45,,,ark:/21198/z1903x57,ark:/21198/z1903x57/4827xc6b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F4827xc6b
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_058.tif,58,Page 46,,,ark:/21198/z1903x57,ark:/21198/z1903x57/bb78jf46,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fbb78jf46
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_059.tif,59,Page 47,,,ark:/21198/z1903x57,ark:/21198/z1903x57/q4850297,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fq4850297
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_060.tif,60,Page 48,,,ark:/21198/z1903x57,ark:/21198/z1903x57/0w01hz7n,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F0w01hz7n
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_061.tif,61,Page 49,,,ark:/21198/z1903x57,ark:/21198/z1903x57/cf43qc6f,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fcf43qc6f
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_062.tif,62,Page 50,,,ark:/21198/z1903x57,ark:/21198/z1903x57/03442k8d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F03442k8d
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_063.tif,63,Page 51,,,ark:/21198/z1903x57,ark:/21198/z1903x57/82332q47,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F82332q47
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_064.tif,64,Page 52,,,ark:/21198/z1903x57,ark:/21198/z1903x57/6s74gx9v,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F6s74gx9v
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_065.tif,65,Page 53,,,ark:/21198/z1903x57,ark:/21198/z1903x57/53430h7j,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F53430h7j
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_066.tif,66,Page 54,,,ark:/21198/z1903x57,ark:/21198/z1903x57/2t111b7p,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F2t111b7p
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_067.tif,67,Page 55,,,ark:/21198/z1903x57,ark:/21198/z1903x57/xd33c76r,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fxd33c76r
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_068.tif,68,Page 56,,,ark:/21198/z1903x57,ark:/21198/z1903x57/h2389r6q,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fh2389r6q
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_069.tif,69,Page 57,,,ark:/21198/z1903x57,ark:/21198/z1903x57/1m53q91w,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F1m53q91w
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_070.tif,70,Page 58,,,ark:/21198/z1903x57,ark:/21198/z1903x57/zg16dq9g,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fzg16dq9g
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_071.tif,71,Page 59,,,ark:/21198/z1903x57,ark:/21198/z1903x57/5771kf0x,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F5771kf0x
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_072.tif,72,Page 60,,,ark:/21198/z1903x57,ark:/21198/z1903x57/5h76tw04,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F5h76tw04
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_073.tif,73,Page 61,,,ark:/21198/z1903x57,ark:/21198/z1903x57/5z324c1s,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F5z324c1s
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_074.tif,74,Page 62,,,ark:/21198/z1903x57,ark:/21198/z1903x57/qt623n4b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fqt623n4b
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_075.tif,75,Page 63,,,ark:/21198/z1903x57,ark:/21198/z1903x57/rs75m44d,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Frs75m44d
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_076.tif,76,Page 64,,,ark:/21198/z1903x57,ark:/21198/z1903x57/2168r546,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F2168r546
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_077.tif,77,Page 65,,,ark:/21198/z1903x57,ark:/21198/z1903x57/pp03hg2f,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fpp03hg2f
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_078.tif,78,Page 66,,,ark:/21198/z1903x57,ark:/21198/z1903x57/rk11hv6b,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Frk11hv6b
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_079.tif,79,Page 67,,,ark:/21198/z1903x57,ark:/21198/z1903x57/v036466f,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fv036466f
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_080.tif,80,Page 68,,,ark:/21198/z1903x57,ark:/21198/z1903x57/s2520h8t,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fs2520h8t
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_081.tif,81,Page 69,,,ark:/21198/z1903x57,ark:/21198/z1903x57/0n61bp9j,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F0n61bp9j
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_082.tif,82,Page 70,,,ark:/21198/z1903x57,ark:/21198/z1903x57/qf80r406,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2Fqf80r406
picart/masters/fre_aju/fre_aju_v3/aju_picart_v03_083.tif,83,Page 71,,,ark:/21198/z1903x57,ark:/21198/z1903x57/3d27mk6j,Page,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903x57%2F3d27mk6j
