Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,IIIF Manifest URL
Huxley (Aldous) Collection,ark:/21198/zz002557kk,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,33,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557kk%2F3t89cs6d,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Julian, 1887-1975",,,eng,,,Y,"Glass, Douglas",,"Image of writer Aldous Huxley, seated and talking with brother Julian, circa 1955-1963. Reverse side: stamp of photographer's company, ""Aldous and Julian Huxley"", ""Please return To L.H."", ""Only Copy"".",YRLSC_2009_00033,"Aldous and Julian Huxley seated, talking (1) [descriptive]",1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557kk/manifest
Huxley (Aldous) Collection,ark:/21198/zz002557m3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,34,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002557m3%2Fts96ck8m,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Biologists $z Great Britain","Huxley, Aldous, 1894-1963|~|Huxley, Julian, 1887-1975",,,eng,,,Y,,,"Image of writer Aldous Huxley, seated and talking with brother Julian Huxley, circa 1955-1963. Reverse side: stamp of photographer's company, ""Aldous and Julian Huxley"", ""only copy"", ""Please return to L.H.""",YRLSC_2009_00034,"Aldous and Julian Huxley seated, talking (2) [descriptive]",1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002557m3/manifest
Huxley (Aldous) Collection,ark:/21198/zz0025589x,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,54,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025589x%2Fq936hc1k,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,eng|~|ita,,,Y,,,"Writer Aldous Huxley facing second wife Laura Archera Huxley (holding a book), circa 1956-1959. Reverse side: photographic stamp in Italian; handwritten note ""Ask permission??""",YRLSC_2009_00054,Aldous Huxley with Laura Huxley holding a book [descriptive],1956-1959,1 photograph : b&w,1956/1959,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025589x/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558h1,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,60,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558h1%2F1870s48w,color photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States|~|Queens $z Italy","Huxley, Aldous, 1894-1963|~|Maria José, Queen, consort of Humbert II, King of Italy, 1906-2001|~|Huxley, Laura Archera",,,ita,,,Y,,,"Writer Aldous Huxley and second wife Laura Archera Huxley, standing with Queen of Italy (Princess Maria José of Belgium) and two unidentified people, circa 1961.|~|Note on verso: Gstaad (credo) con la regina",YRLSC_2009_00060,"Aldous and Laura Huxley with the Queen of Italy (Princess Maria José of Belgium) and two unidentified people, 1961 [descriptive]",1961,1 photograph : color,1961,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558h1/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558k2,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,62,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558k2%2Fs2134z5j,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,ita,,,Y,,,"Writer Aldous Huxley (dressed in suit) and second wife Laura Archera Huxley (in dress suit) with badges, walking outside in sunlight, circa 1956-1963.|~|Reverse side: ""FORTE"" (Italian?); no handwriting; ""62"" noted in lower left corner.",YRLSC_2009_00062,"Aldous and Laura Huxley, walking outside in sunlight, dressed in suits [descriptive]",1956-1963,1 photograph : b&w,1956/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558k2/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558mk,ark:/21198/zz00253vz2,1,In progress,Work,,63,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558mk%2Fxk680d11,color photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,ita,,,Y,,,"Writer Aldous Huxley in a reclining chair in a patio area with second wife Laura Archera Huxley in September, 1961. Reverse side: red Kodacolor stamp in Italian.",YRLSC_2009_00063,"Aldous Huxley reclined and wife Laura Archera Huxley, photo 1 [descriptive]",September 1961,,1961-09,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558mk/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558n3,ark:/21198/zz00253vz2,2,Completed,Work,,64,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558n3%2Fhn57d15j,color photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,ita,,,Y,,,"Writer Aldous Huxley in a reclining chair in a patio area with second wife Laura Archera Huxley in September, 1961. Reverse side: red Kodacolor stamp in Italian.",YRLSC_2009_00064,"Aldous Huxley reclined and wife Laura Archera Huxley, photo 2 [descriptive]",September 1961,,1961-09,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558n3/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558pm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,65,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558pm%2F2441r25c,color photographs,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States","Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera",,,ita,,,Y,,,"Writer Aldous Huxley and second wife Laura Archera Huxley examining a newspaper, September 1961. Reverse side: red Kodacolor stamp in Italian.",YRLSC_2009_00065,Aldous and Laura Huxley examining newspaper [descriptive],September 1961,1 photograph : color,1961-09,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558pm/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558s5,ark:/21198/zz00253vz2,1,In progress,Work,,67,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558s5%2Fc1487b15,color photographs,still image,copyrighted,"Women authors, American--20th century|~|Violinists $z United States","Huxley, Laura Archera",,,ita,,,Y,,,"Laura Archera Huxley, second wife of Aldous Huxley, wearing a blouse and shorts and standing next to a low wall in September of 1961. Reverse side: red Kodacolor stamp in Italian.",YRLSC_2009_00067,"Laura Archera Huxley, in blouse and shorts, standing next to low wall [descriptive]",September 1961,,1961-09,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558s5/manifest
Huxley (Aldous) Collection,ark:/21198/zz002558x7,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,71,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002558x7%2F9888nj7h,color photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley, dressed in suit, standing in village with three men (two appear to be indigenous), possibly in a Brazilian village. Circa 1956-1963.|~|Note on verso: ""The Indian on Huxley's right is called Canato.""",YRLSC_2009_00071,Aldous Huxley in village with three unidentified men [descriptive],1956-1963,1 photograph: color,1956/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002558x7/manifest
