Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf,IIIF Manifest URL
Huxley (Aldous) Collection,ark:/21198/zz00255bjh,ark:/21198/zz00253vz2,1,In progress,Work,,110,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bjh%2Fk512qh2r,black-and-white photographs,still image,copyrighted,,,,,eng,,,Y,,,"Image of unidentified man and baby. Baby is seated on the lap of the man (mustache, dressed in suit). Possible relation to Maria Nys Huxley, first wife of writer Aldous Huxley.|~|Verso: ""Richar Baltus, Dick 10 Months"" (handwritten); ""Photo J. Van Den Bergh 626, Chaussee de Waterloo, 626 Ixelles-Bruxelles"" (photographer's stamp).",YRLSC_2009_00108,Unidentified man and baby [descriptive],1910-1920,,1910/1920,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bjh/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255bk1,ark:/21198/zz00253vz2,1,In progress,Work,,111,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bk1%2F09339x3n,postcards,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States|~|Taormina (Italy)",,,,eng|~|ita,,,Y,,"Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera|~|Nys, Margueritte","A postcard sent to Margueritte Nys from writer Aldous Huxley and his second wife Laura Archera Huxley. Margueritte Nys was likely a relative of Mr. Huxley's first wife,  Maria Nys. The image on the postcard is of Capo S. Andrea in Taormina, Italy.",YRLSC_2009_00109,Postcard from Aldous and Laura Huxley to Margueritte Nys [descriptive],1956-1963,,1956/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bk1/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255bq3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,115,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bq3%2Fs049tj6p,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Philosophers--United States","Huxley, Aldous, 1894-1963|~|Kaplan, Abraham, 1918-1993|~|Heard, Gerald, 1889-1971",,,ita,,,Y,,,"Writer Aldous Huxley seated outside at a table with philosophers Gerald Heard and Abraham Kaplan, circa 1960-1963. Reserve side: handwritten note in Italian.",113|~|YRLSC_2009_00113,Aldous Huxley seated at a table with Gerald Heard and Abraham Kaplan [descriptive],1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bq3/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255brm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,116,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255brm%2F2394gv60,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Image of writer Aldous Huxley (dressed in coat, sweater and pants), standing in a doorway, circa 1940-1949.|~|On the back of the photograph: Please credit photo by CASKEY.",YRLSC_2009_00114,"Aldous Huxley, standing in doorway [descriptive]",1940-1949,1 photograph : b&w,1940/1949,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255brm/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255bx6,ark:/21198/zz00253vz2,1,In progress,Work,,121,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255bx6%2Fdt381v4g,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Image of writer Aldous Huxley, dressed in a suit, seated with legs crossed, hand to face and arm on the couch. Circa mid 1950s-early 1960s. Stamped/signed on verso: Photograph by George Kramer",YRLSC_2009_00119,"Aldous Huxley seated with legs crossed, hand to face, arm on couch [descriptive]",1955-1963,,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255bx6/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255cdx,ark:/21198/zz00253vz2,1,In progress,Work,,127,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255cdx%2F2471st61,color photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley, pointing his finger,  standing in a crowd at UC Berkeley, circa 1960-1963. Note on verso: Margaret Dutton, 1 Scott #8, S. F. 94117, Charles Sawyer, Ames Lab, Biochemistry, U. C. Berk.",YRLSC_2009_00125,Aldous Huxley in a crowd at UC Berkeley (3) [descriptive],1960-1963,,1960/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255cdx/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255chg,ark:/21198/zz00253vz2,1,In progress,Work,,130,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255chg%2F9q54b527,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Image of Aldous Huxley's profile, seated on a couch with arm extended and legs crossed. Circa 1950s. Reverse side: stamp of photo company.",YRLSC_2009_00128,"Aldous Huxley profile, seated on couch, arm extended, legs crossed [descriptive]",1950-1959,,1950/1959,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255chg/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255cr3,ark:/21198/zz00253vz2,1,In progress,Work,,137,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255cr3%2F4809td9c,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Close up image of writer Aldous Huxley, wearing a suit and looking up, circa mid 1950s-early 1960s. Reverse side: handwritten labels ""6-That Poor Fellow""(?) and ""Property of Laura Huxley"".",YRLSC_2009_00135,"Aldous Huxley looking up, close up photo [descriptive]",1955-1963,,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255cr3/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255ct4,ark:/21198/zz00253vz2,2,Completed,Work,,139,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255ct4%2Fbg33mh0w,black-and-white photographs,still image,copyrighted,,"Huxley, Aldous, 1894-1963|~|Chagla, Mahomedali Currim, 1900-",,,,,,Y,,,"Note on verso: Aldous Huxley speaking at Dartmouth College Convocation, Sept 9, 1960 - Hanover, NH - Seated: Hon M. C. Chagla of India",0137|~|YRLSC_2009_00137,"Aldous Huxley at podium at Dartmouth College, Hanover, NH, 1960","September 16, 1960",,1960-09-16,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255ct4/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255fcc,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,172,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fcc%2F9706xw87,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley (signing an item in his hand) with [Mercer?] Sullivan (in glasses), at Presbyterian Church in Lake Forest, Illinois. Reverse side: handwritten note ""Taken April 7, 1960 at Presbyterian Church, Lake Forest, Ill""; handwritten ""Aldous Huxley""; handwritten ""[Mercer?] Forest""; photographer's stamp.",YRLSC_2009_00170,"Aldous Huxley with [Mercer?] Sullivan at Presbyterian Church, Lake Forest, Ill., 1960 [descriptive]","April 7, 1960",1 photograph : b&w,1960-04-07,Lake Forest (Ill.),,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255fcc/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255fdw,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,173,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fdw%2F3h07kd6d,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Kellejian, R.",,"Reverse side: handwritten note ""COMPLIMENTS OF SF STATE COLLEGE INDUSTRIAL ARTS DEPT. R. KELLEJIAN PHOTOGRAPHER"".|~|Writer Aldous Huxley, standing at a podium on stage in front of an audience at the Industrial Arts Department of San Francisco State College, circa 1955-1963.",YRLSC_2009_00171,"Aldous Huxley speaking at the Industrial Arts Department, San Francisco State College [descriptive]",1955-1963,1 photograph : b&w,1955/1963,San Francisco,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255fdw/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255fsk,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,175,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fsk%2Fmx18fz83,black-and-white photographs,still image,copyrighted,"Photographers $z United States|~|Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Barrie, Jay",,"Portrait of writer Aldous Huxley (looking to the side), leaning on elbow, hands clasped, dressed in suit with scarf around neck. Circa 1950-1959.|~|Reverse side: photographer's information written in blue ink ""Please Credit JAY BARRIE 545 SPOLETO DRIVE SANTA MONICA, CALIF""; additional handwriting in pencil.",YRLSC_2009_00173,"Aldous Huxley portrait, leaning on elbow, hands clasped, scarf around neck [descriptive]",1950-1959,1 photograph : b&w,1950/1959,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255fsk/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255ft3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,176,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255ft3%2Fv550b62s,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley, leaning on arm and seated, smiling and holding a copy of his book Doors of Perception. Circa 1954-1959.|~|Reverse side: stamp ""CAVALCADE OF BOOKS 2061 CERRO GORDO STREET LOS ANGELES 39, CALIFORNIA""; stamp ""JACK CASE 2061 CERRO GORDO ST. LOS ANGELES 39, CALIFORNIA.",YRLSC_2009_00174,"Aldous Huxley seated, smiling and holding a copy of Doors of Perception [descriptive]",1954-1959,1 photograph : b&w,1954/1959,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255ft3/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255fvm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,177,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fvm%2Fbk808274,black-and-white photographs,still image,copyrighted,"Photographers $z United States|~|Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Steiner, Ralph, $d 1899-1986",,"Writer Aldous Huxley, dressed in suit, seated and looking down with hands clasped.|~|Reverse side: pencial notation ""A Huxley 4/48"", the possible date of the photograph (April 1948); ""Photo by Ralph Steiner""; ""Griffin Copy Negs"".",175|~|YRLSC_2009_00175,"Aldous Huxley seated, looking down, hands clasped, circa 1948 [descriptive]",circa April 1948,1 photograph : b&w,1948-04,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255fvm/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255fz5,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,180,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fz5%2Ft0733n45,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Reserve side: ""10-One Never"" handwritten in blue ink on a label; ""Property of Laura Huxley""(?) handwritten in blue ink on a label.|~|Close-up portrait of writer Aldous Huxley, looking down and smiling, circa 1955-1963.",178|~|YRLSC_2009_00178,"Aldous Huxley portrait, looking down, smiling [descriptive]",1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255fz5/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255g05,ark:/21198/zz00253vz2,2,Completed,Work,,181,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255g05%2Fxd04mr44,photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Glass, Douglas",,,0179|~|YRLSC_2009_00179,"Aldous Huxley portrait profile, hand to forehead",[between 1955 and 1963?],1 b&w photograph,1955/1963,,,"On back of photo: ""19 The Almost Boundless.""",,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255g05/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255g26,ark:/21198/zz00253vz2,1,In progress,Work,,183,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255g26%2Fm543s14z,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Portrait (close up) of writer Aldous Huxley with his eyes closed, circa mid 1950s-early 1960s. Reverse side: handwritten label ""21. O Nobly Born""; cut-off handwritten label ""Property of Laura Huxley""(?).",YRLSC_2009_00181,"Aldous Huxley portrait, eyes closed [descriptive]",1955-1963,1 b&w photograph,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255g26/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255gjf,ark:/21198/zz00253vz2,1,In progress,Work,,197,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255gjf%2F8d63021q,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Image of writer Aldous Huxley, dressed in a shirt and tie, sitting down and talking while gesturing with his hands. Dark background. Circa mid 1950s-early 1960s. Reserve side: handwritten label ""Property of Laura Huxley"".",YRLSC_2009_00195,"Aldous Huxley seated, talking, gesturing with hands, dark background [descriptive]",1955-1963,1 b&w photograph,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255gjf/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255gkz,ark:/21198/zz00253vz2,2,Completed,Work,,198,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255gkz%2Fc560kq44,programs (documents)|~|black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Program for Aldous Huxley's lecture at MIT, September 26, 1960. The reverse side is of text pertaining to Huxley's visit to MIT.",YRLSC_2009_00196,Program for Aldous Huxley lecture at Massachusetts Institute of Technology [descriptive],"September 26, 1960",1 item,1960-09-26,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255gkz/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255gmg,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,199,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255gmg%2Fmb68269v,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Note on verso: Aldous: May 1953 Hollywood when the Doors of Perception were cleansed.|~|Profile of writer Aldous Huxley, hand rested on waist, standing in hills overlooking Hollywood, May 1953.",YRLSC_2009_00197,"Aldous Huxley, standing in profile in hills above Hollywood [descriptive]",May 1953,1 photograph : b&w,1953-05,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255gmg/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255gq1,ark:/21198/zz00253vz2,1,In progress,Work,,202,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255gq1%2F0w64c70z,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Portrait of writer Aldous Huxley dressed in a suit. Dated April 5, 1920.",YRLSC_2009_00200,"Portrait of Aldous Huxley dressed in suit, 1920 [descriptive]","April 5, 1920",,1920-04-05,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255gq1/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255grj,ark:/21198/zz00253vz2,1,In progress,Work,,203,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255grj%2Fhh66bb45,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Clippings from a publication featuring images of writer Aldous Huxley. Front: image of Mr. Huxley standing with two unidentified people, ""Huxley over Bethlehem, Pa. six feet, six inches"".|~|Verso: three additional images of Mr. Huxley in different scenes (bottom image is identical to image YRLSC_2009_00013, dated 1939).",YRLSC_2009_00201,"Huxley over Bethlehem, Pa. six feet, six inches [descriptive]",1939-1949,,1939/1949,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255grj/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255h4q,ark:/21198/zz00253vz2,1,In progress,Work,,204,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255h4q%2F2967g91k,clippings,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Clipping of image of Aldous Huxley's feet and shoes, 1937 (clipping noted: A.H. 1937). Reverse side: ""Aldous Huxley"", ""December, 1937"", ""Eight Photographs"", information about Mr. Huxley.",YRLSC_2009_00202,"Aldous Huxley, image of feet and shoes [descriptive]",December 1937,,1937-12,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255h4q/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255j46,ark:/21198/zz00253vz2,1,In progress,Work,,223,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255j46%2Fw374vj4r,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Portrait of writer Aldous Huxley, looking forward, with scarf around neck and buttoned shirt. The right side of his face is shadowned and he is positioned to his right of the the frame. Black background, circa 1955-1963.|~|Reverse side: red stamp ""PLEASE CREDIT SANFORD H. ROTH""; handwriting ""5 1/8 high, 1 neg/pos flat S.S.""",YRLSC_2009_00221,"Aldous Huxley portrait, looking forward, shadowed face, dark background [descriptive]",1955-1963,,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255j46/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255j88,ark:/21198/zz00253vz2,1,In progress,Work,,227,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255j88%2Fm345742g,black-and-white photographs,still image,copyrighted,"Women authors, American--20th century|~|Violinists $z United States","Huxley, Laura Archera",,,zxx,,,Y,,,"Portrait of Laura Archera Huxley, second wife of writer Aldous Huxley, looking forward, smiling, elbow on knee. Circa 1970-1979. Reverse side: photographer's stamp; handwritten information; bottom reads ""RETURN TO LAURA HUXLEY"".",YRLSC_2009_00225,"Laura Archera Huxley portrait, looking forward, smiling, elbow on knee (1) [descriptive]",1970-1979,,1970/1979,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255j88/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255jct,ark:/21198/zz00253vz2,1,In progress,Work,,230,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255jct%2F0k95mk3h,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Hand of writer Aldous Huxley. Date provided is November 16, 1963.|~|Noted on verso: A Gratuitous; Property of Laura Huxley.",YRLSC_2009_00228,Aldous Huxley hand [descriptive],"November 16, 1963",,1963-11-16,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255jct/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255jfv,ark:/21198/zz00253vz2,1,In progress,Work,,232,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255jfv%2Fsg73gf29,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Writer Aldous Huxley at a podium, speaking to an audience at MIT, circa 1955-1963.",YRLSC_2009_00230,Aldous Huxley at podium at MIT [descriptive],1955-1963,,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255jfv/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255jgc,ark:/21198/zz00253vz2,1,In progress,Work,,233,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255jgc%2Frf57d52g,black-and-white photographs,still image,copyrighted,"Art, Italian $y 17th century",,,,eng|~|ita,,"Bernini, Gianlorenzo",Y,,,Image of a head from one of the central figures of Gianlorenzo Bernini's Ecstasy of Saint Teresa.|~|Estimated date of image is between 1960-1969.|~|Note on verso: Bocca Baciata; Property of Laura Huxley.,YRLSC_2009_00231,Head from Bernini's Ecstasy of Saint Teresa [descriptive],[1960-1969?],,1960/1969,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255jgc/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255jv2,ark:/21198/zz00253vz2,1,In progress,Work,,234,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255jv2%2Fm917048w,postcards,still image,copyrighted,"Authors, English--20th century|~|Women authors, American--20th century|~|Violinists $z United States|~|Medusa (Greek mythology)",,,,eng|~|fre|~|ger|~|ita,,"Bernini, Gianlorenzo",Y,,"Huxley, Aldous, 1894-1963|~|Huxley, Laura Archera","Postcard of Bernini's Head of Medusa, sent to second wife Laura Archera Huxley from Mr. Huxley. Postmarked March 23, 1963 (New York, NY).",YRLSC_2009_00232,Postcard of Bernini's Head of Medusa from Aldous Huxley to Laura Huxley [descriptive],"March 23, 1963",,1963-03-23,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255jv2/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255jwk,ark:/21198/zz00253vz2,1,In progress,Work,,235,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255jwk%2Fqp36bw3r,black-and-white photographs,still image,copyrighted,Andromeda Galaxy,,,,eng,,,Y,,,Image of the Andromeda Galaxy. Estimated dated of image is between 1960-1969.|~|Note on verso: This Timeless Moment; Property of Laura Huxley. Stamp on verso: Andromeda Galaxy Lick Observatory photograph,YRLSC_2009_00233,Andromeda Galaxy [descriptive],[1960-1969?],,1960/1969,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255jwk/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255k14,ark:/21198/zz00253vz2,1,In progress,Work,,239,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255k14%2Fxs384j59,clippings,still image,copyrighted,,,"Huxley, Aldous, 1894-1963",,eng,,,Y,,,"Clipping of an article by writer Aldous Huxley titled If My Library Burned Tonight, from November 1947. Reverse side: continuation of the article.",YRLSC_2009_00237,Clipping of article by Aldous Huxley titled If My Library Burned Tonight (1) [descriptive],November 1947,,1947-11,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255k14/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255k4p,ark:/21198/zz00253vz2,1,In progress,Work,,242,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255k4p%2Fnx16hq0w,clippings,still image,copyrighted,,,"Huxley, Aldous, 1894-1963",,eng,,,Y,,,"Clipping of Life Magazine article by writer Aldous Huxley, titled A Case for ESP, PK and PSI. From January 11, 1954. Reverse side: continuation of article.",YRLSC_2009_00240,"Clipping of Life Magazine article by Aldous Huxley titled A Case for ESP, PK and PSI (2) [descriptive]","January 11, 1954",,1954-01-11,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255k4p/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255k56,ark:/21198/zz00253vz2,1,In progress,Work,,243,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255k56%2Fbj226r87,clippings,still image,copyrighted,,,"Huxley, Aldous, 1894-1963",,eng,,,Y,,,"Continuation of writer Aldous Huxley's Life Magazine article A Case for ESP, PK and PSI. From January 11, 1954. Reserve side: continuation of article.",YRLSC_2009_00241,"Clipping of Life Magazine article by Aldous Huxley titled A Case for ESP, PK and PSI (3) [descriptive]","January 11, 1954",,1954-01-11,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255k56/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255kfb,ark:/21198/zz00253vz2,1,In progress,Work,,251,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255kfb%2F7j48wt1m,clippings,still image,copyrighted,"Authors, English--20th century|~|Novelists, American $y 20th century|~|Biologists $z Great Britain|~|Educators $z United States|~|Chemists--United States|~|Philosophers--United States","Pauling, Linus, 1901-1994|~|Huxley, Aldous, 1894-1963|~|Huxley, Julian, 1887-1975|~|Isherwood, Christopher, $d 1904-1986|~|Heard, Gerald, $d 1889-1971",,,eng,,,Y,,,"Clipping of article titled A Warm Climate for Cultural Life, featuring an image of writer Aldous Huxley with novelist Christopher Isherwood, educator and philosopher Gerald Heard, biologist and brother Julian Huxley, and educator and chemist Linus Pauling.|~|Image in clipping identical to image in clipping  YRLSC_2009_00093 (image date 1960). Verso: continuation of article.",YRLSC_2009_00249,Clipping of article titled A Warm Climate for Cultural Life [descriptive],1960-1969,,1960/1969,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255kfb/manifest
Huxley (Aldous) Collection,ark:/21198/zz00255khc,ark:/21198/zz00253vz2,1,In progress,Work,,253,private,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255khc%2F1863k01q,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Close-up image of writer Aldous Huxley, looking down with hand on cheek, circa 1955-1963. Reverse side: ""1958"" is noted in pencil, which might be the more accurate date of the image; photographer's stamp; ""HS21D"" noted in black.",YRLSC_2009_00251,"Aldous Huxley close up, hand to cheek looking down [descriptive]",1955-1963,,1955/1963,,,,,,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00255khc/manifest
