"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz0013zfcg","ark:/21198/zz001gq819","2","Completed","","Page","connexxus/images/masters/21198-zz0013zfcg-1-master.tif","63","","","","","","","","","","","","","","","","","","","","","","","Clipping from Lesbian News -- Interview With Lauren Jardine, Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfcg",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/zz0013zfd0","ark:/21198/zz001gq819","2","Completed","","Page","connexxus/images/masters/21198-zz0013zfd0-1-master.tif","64","","","","","","","","","","","","","","","","","","","","","","","Clipping from Lesbian News -- Interview With Lauren Jardine, Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfd0",""
