"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Alt ID.other","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Name.subject","Name.creator","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Name.photographer","Name.publisher","Coverage.geographic","Subject","Rights.servicesContact","Language","Rights.publicationNote","Name.author","Name.repository","Description.note","Title","Date.publication","Date.normalized","Description.inscription","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Connexxus/Centro de Mujeres Collection","ark:/21198/z1pv841v","ark:/21198/zz0013zznv","2","Completed","","Page","connexxus/images/masters/21198-zz0013zznv-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv841v",""
"Connexxus/Centro de Mujeres Collection","ark:/21198/z1k37c80","ark:/21198/zz0013zznv","2","Completed","","Page","connexxus/images/masters/21198-zz0013zznv_1272381_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37c80",""
