Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No. 3: 0001,Armenian Manuscripts,ark:/21198/zz0028w7tv,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0001.tif,1,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w7tv
Manuscript No. 3: 0002,Armenian Manuscripts,ark:/21198/zz0028w7vc,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0002.tif,2,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w7vc
Manuscript No. 3: 0003,Armenian Manuscripts,ark:/21198/zz0028w7ww,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0003.tif,3,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w7ww
Manuscript No. 3: 0004,Armenian Manuscripts,ark:/21198/zz0028w7xd,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0004.tif,4,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w7xd
Manuscript No. 3: 0005,Armenian Manuscripts,ark:/21198/zz0028w7zx,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0005.tif,5,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w7zx
Manuscript No. 3: 0006,Armenian Manuscripts,ark:/21198/zz0028w80x,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0006.tif,6,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w80x
Manuscript No. 3: 0007,Armenian Manuscripts,ark:/21198/zz0028w81f,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0007.tif,7,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w81f
Manuscript No. 3: 0008,Armenian Manuscripts,ark:/21198/zz0028w82z,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0008.tif,8,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w82z
Manuscript No. 3: 0009,Armenian Manuscripts,ark:/21198/zz0028w83g,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0009.tif,9,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w83g
Manuscript No. 3: 0010,Armenian Manuscripts,ark:/21198/zz0028w840,ark:/21198/zz0026w2v4,Page,,armenian/masters/ms_3/Scan_0010.tif,10,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w840
