Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.69: 0001,Armenian Manuscripts,ark:/21198/zz0028zq24,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0001.tif,1,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq24
Manuscript No.69: 0002,Armenian Manuscripts,ark:/21198/zz0028zq3n,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0002.tif,2,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq3n
Manuscript No.69: 0003,Armenian Manuscripts,ark:/21198/zz0028zq45,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0003.tif,3,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq45
Manuscript No.69: 0004,Armenian Manuscripts,ark:/21198/zz0028zq5p,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0004.tif,4,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq5p
Manuscript No.69: 0005,Armenian Manuscripts,ark:/21198/zz0028zq66,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0005.tif,5,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq66
Manuscript No.69: 0006,Armenian Manuscripts,ark:/21198/zz0028zq7q,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0006.tif,6,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq7q
Manuscript No.69: 0007,Armenian Manuscripts,ark:/21198/zz0028zq87,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0007.tif,7,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq87
Manuscript No.69: 0008,Armenian Manuscripts,ark:/21198/zz0028zq9r,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0008.tif,8,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq9r
Manuscript No.69: 0009,Armenian Manuscripts,ark:/21198/zz0028zqb8,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0009.tif,9,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zqb8
Manuscript No.69: 0010,Armenian Manuscripts,ark:/21198/zz0028zqcs,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0010.tif,10,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zqcs
Manuscript No.69: 0011,Armenian Manuscripts,ark:/21198/zz0028zqd9,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0011.tif,11,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zqd9
Manuscript No.69: 0012,Armenian Manuscripts,ark:/21198/zz0028zqft,ark:/21198/zz0026w36s,Page,,armenian/masters/ms_69/ms_69_0012.tif,12,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zqft
