Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No. 52: 0001,Armenian Manuscripts,ark:/21198/zz0028wj3b,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0001.tif,1,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj3b
Manuscript No. 52: 0002,Armenian Manuscripts,ark:/21198/zz0028wj4v,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0002.tif,2,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj4v
Manuscript No. 52: 0003,Armenian Manuscripts,ark:/21198/zz0028wj5c,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0003.tif,3,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj5c
Manuscript No. 52: 0004,Armenian Manuscripts,ark:/21198/zz0028wj6w,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0004.tif,4,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj6w
Manuscript No. 52: 0005,Armenian Manuscripts,ark:/21198/zz0028wj7d,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0005.tif,5,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj7d
Manuscript No. 52: 0006,Armenian Manuscripts,ark:/21198/zz0028wj8x,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0006.tif,6,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj8x
Manuscript No. 52: 0007,Armenian Manuscripts,ark:/21198/zz0028wj9f,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0007.tif,7,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wj9f
Manuscript No. 52: 0008,Armenian Manuscripts,ark:/21198/zz0028wjbz,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0008.tif,8,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wjbz
Manuscript No. 52: 0009,Armenian Manuscripts,ark:/21198/zz0028wjcg,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0009.tif,9,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wjcg
Manuscript No. 52: 0010,Armenian Manuscripts,ark:/21198/zz0028wjd0,ark:/21198/zz0026w2zp,Page,,armenian/masters/ms_52/ms_52_0010.tif,10,text,Manuscripts,pd,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wjd0
