"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.61: 0001","Armenian Manuscripts","ark:/21198/zz0028xmpj","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0001.tif","1","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmpj",""
"Manuscript No.61: 0002","Armenian Manuscripts","ark:/21198/zz0028xmq2","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0002.tif","2","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmq2",""
"Manuscript No.61: 0003","Armenian Manuscripts","ark:/21198/zz0028xmrk","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0003.tif","3","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmrk",""
"Manuscript No.61: 0004","Armenian Manuscripts","ark:/21198/zz0028xms3","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0004.tif","4","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xms3",""
"Manuscript No.61: 0005","Armenian Manuscripts","ark:/21198/zz0028xmtm","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0005.tif","5","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmtm",""
"Manuscript No.61: 0006","Armenian Manuscripts","ark:/21198/zz0028xmv4","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0006.tif","6","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmv4",""
"Manuscript No.61: 0007","Armenian Manuscripts","ark:/21198/zz0028xmwn","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0007.tif","7","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmwn",""
"Manuscript No.61: 0008","Armenian Manuscripts","ark:/21198/zz0028xmx5","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0008.tif","8","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmx5",""
"Manuscript No.61: 0009","Armenian Manuscripts","ark:/21198/zz0028xmzp","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0009.tif","9","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xmzp",""
"Manuscript No.61: 0010","Armenian Manuscripts","ark:/21198/zz0028xn0p","ark:/21198/zz0026w32q","Page","","armenian/masters/ms_61/ms_61_0010.tif","10","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xn0p",""
