Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0022,Armenian Manuscripts,ark:/21198/zz0029206t,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0022.tif,22,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029206t
Manuscript No.91: 0023,Armenian Manuscripts,ark:/21198/zz0029207b,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0023.tif,23,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029207b
Manuscript No.91: 0024,Armenian Manuscripts,ark:/21198/zz0029208v,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0024.tif,24,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029208v
Manuscript No.91: 0025,Armenian Manuscripts,ark:/21198/zz0029209c,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0025.tif,25,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029209c
Manuscript No.91: 0026,Armenian Manuscripts,ark:/21198/zz002920bw,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0026.tif,26,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920bw
Manuscript No.91: 0027,Armenian Manuscripts,ark:/21198/zz002920cd,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0027.tif,27,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920cd
Manuscript No.91: 0028,Armenian Manuscripts,ark:/21198/zz002920dx,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0028.tif,28,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920dx
Manuscript No.91: 0029,Armenian Manuscripts,ark:/21198/zz002920ff,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0029.tif,29,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920ff
Manuscript No.91: 0030,Armenian Manuscripts,ark:/21198/zz002920gz,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0030.tif,30,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920gz
Manuscript No.91: 0031,Armenian Manuscripts,ark:/21198/zz002920hg,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0031.tif,31,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920hg
