Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.81: 0001,Armenian Manuscripts,ark:/21198/zz00291dwh,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0001.tif,1,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291dwh
Manuscript No.81: 0002,Armenian Manuscripts,ark:/21198/zz00291dx1,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0002.tif,2,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291dx1
Manuscript No.81: 0003,Armenian Manuscripts,ark:/21198/zz00291dzj,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0003.tif,3,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291dzj
Manuscript No.81: 0004,Armenian Manuscripts,ark:/21198/zz00291f0j,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0004.tif,4,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f0j
Manuscript No.81: 0005,Armenian Manuscripts,ark:/21198/zz00291f12,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0005.tif,5,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f12
Manuscript No.81: 0006,Armenian Manuscripts,ark:/21198/zz00291f2k,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0006.tif,6,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f2k
Manuscript No.81: 0007,Armenian Manuscripts,ark:/21198/zz00291f33,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0007.tif,7,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f33
Manuscript No.81: 0008,Armenian Manuscripts,ark:/21198/zz00291f4m,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0008.tif,8,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f4m
Manuscript No.81: 0009,Armenian Manuscripts,ark:/21198/zz00291f54,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0009.tif,9,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f54
Manuscript No.81: 0010,Armenian Manuscripts,ark:/21198/zz00291f6n,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0010.tif,10,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f6n
Manuscript No.81: 0011,Armenian Manuscripts,ark:/21198/zz00291f75,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0011.tif,11,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f75
Manuscript No.81: 0012,Armenian Manuscripts,ark:/21198/zz00291f8p,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0012.tif,12,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f8p
Manuscript No.81: 0013,Armenian Manuscripts,ark:/21198/zz00291f96,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0013.tif,13,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291f96
Manuscript No.81: 0014,Armenian Manuscripts,ark:/21198/zz00291fbq,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0014.tif,14,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fbq
Manuscript No.81: 0015,Armenian Manuscripts,ark:/21198/zz00291fc7,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0015.tif,15,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fc7
Manuscript No.81: 0016,Armenian Manuscripts,ark:/21198/zz00291fdr,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0016.tif,16,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fdr
Manuscript No.81: 0017,Armenian Manuscripts,ark:/21198/zz00291ff8,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0017.tif,17,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291ff8
Manuscript No.81: 0018,Armenian Manuscripts,ark:/21198/zz00291fgs,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0018.tif,18,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fgs
Manuscript No.81: 0019,Armenian Manuscripts,ark:/21198/zz00291fh9,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0019.tif,19,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fh9
Manuscript No.81: 0020,Armenian Manuscripts,ark:/21198/zz00291fjt,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0020.tif,20,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fjt
Manuscript No.81: 0021,Armenian Manuscripts,ark:/21198/zz00291fkb,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0021.tif,21,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fkb
Manuscript No.81: 0022,Armenian Manuscripts,ark:/21198/zz00291fmv,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0022.tif,22,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fmv
Manuscript No.81: 0023,Armenian Manuscripts,ark:/21198/zz00291fnc,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0023.tif,23,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fnc
Manuscript No.81: 0024,Armenian Manuscripts,ark:/21198/zz00291fpw,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0024.tif,24,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fpw
Manuscript No.81: 0025,Armenian Manuscripts,ark:/21198/zz00291fqd,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0025.tif,25,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fqd
Manuscript No.81: 0026,Armenian Manuscripts,ark:/21198/zz00291frx,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0026.tif,26,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291frx
Manuscript No.81: 0027,Armenian Manuscripts,ark:/21198/zz00291fsf,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0027.tif,27,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fsf
Manuscript No.81: 0028,Armenian Manuscripts,ark:/21198/zz00291ftz,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0028.tif,28,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291ftz
Manuscript No.81: 0029,Armenian Manuscripts,ark:/21198/zz00291fvg,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0029.tif,29,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fvg
Manuscript No.81: 0030,Armenian Manuscripts,ark:/21198/zz00291fw0,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0030.tif,30,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fw0
Manuscript No.81: 0031,Armenian Manuscripts,ark:/21198/zz00291fxh,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0031.tif,31,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fxh
Manuscript No.81: 0032,Armenian Manuscripts,ark:/21198/zz00291fz1,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0032.tif,32,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291fz1
Manuscript No.81: 0033,Armenian Manuscripts,ark:/21198/zz00291g01,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0033.tif,33,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g01
Manuscript No.81: 0034,Armenian Manuscripts,ark:/21198/zz00291g1j,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0034.tif,34,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g1j
Manuscript No.81: 0035,Armenian Manuscripts,ark:/21198/zz00291g22,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0035.tif,35,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g22
Manuscript No.81: 0036,Armenian Manuscripts,ark:/21198/zz00291g3k,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0036.tif,36,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g3k
Manuscript No.81: 0037,Armenian Manuscripts,ark:/21198/zz00291g43,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0037.tif,37,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g43
Manuscript No.81: 0038,Armenian Manuscripts,ark:/21198/zz00291g5m,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0038.tif,38,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g5m
Manuscript No.81: 0039,Armenian Manuscripts,ark:/21198/zz00291g64,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0039.tif,39,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g64
Manuscript No.81: 0040,Armenian Manuscripts,ark:/21198/zz00291g7n,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0040.tif,40,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g7n
Manuscript No.81: 0041,Armenian Manuscripts,ark:/21198/zz00291g85,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0041.tif,41,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g85
Manuscript No.81: 0042,Armenian Manuscripts,ark:/21198/zz00291g9p,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0042.tif,42,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291g9p
Manuscript No.81: 0043,Armenian Manuscripts,ark:/21198/zz00291gb6,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0043.tif,43,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291gb6
Manuscript No.81: 0044,Armenian Manuscripts,ark:/21198/zz00291gcq,ark:/21198/zz0026w3cc,Page,,armenian/masters/ms_81/ms_81_0044.tif,44,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00291gcq
