"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175pxg","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175pxg-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175pxg"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175pz0","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175pz0-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175pz0"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q00","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q00-1-master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q00"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q1h","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q1h-1-master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q1h"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q21","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q21-1-master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q21"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q3j","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q3j-1-master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q3j"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q42","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q42-1-master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q42"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q5k","ark:/21198/zz00175pwz","2","Completed","Page","wavav/images/masters/21198-zz00175q5k-1-master.tif","8","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q5k"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q7m","ark:/21198/zz00175q63","2","Completed","Page","wavav/images/masters/21198-zz00175q7m-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q7m"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175q84","ark:/21198/zz00175q63","2","Completed","Page","wavav/images/masters/21198-zz00175q84-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175q84"
