"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Title","Date.creation","Date.normalized","AltTitle.uniform","Opac url","Description.note","Place of origin","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Obrero Panadero, El","ark:/21198/zz0028thh5","ark:/21198/zz0028thgn","2","Completed","Page","obrer/image/21198-zz0028thh5_1947114_master.tif","1","","","","","","","","pd","published","","","","page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thh5",""
"Obrero Panadero, El","ark:/21198/zz0028thjp","ark:/21198/zz0028thgn","2","Completed","Page","obrer/image/21198-zz0028thjp_1947121_master.tif","2","","","","","","","","pd","published","","","","page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thjp",""
"Obrero Panadero, El","ark:/21198/zz0028thk6","ark:/21198/zz0028thgn","2","Completed","Page","obrer/image/21198-zz0028thk6_1947124_master.tif","3","","","","","","","","pd","published","","","","page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thk6",""
"Obrero Panadero, El","ark:/21198/zz0028thmq","ark:/21198/zz0028thgn","2","Completed","Page","obrer/image/21198-zz0028thmq_1947127_master.tif","4","","","","","","","","pd","published","","","","page 4","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028thmq",""
