Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz0019s1zq,ark:/21198/zz000s2z8d,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tj7j,text,copyrighted,Y,unpublished,San Francisco (Calif.),,"Cruikshank, Margaret",,eng,,"Lesbian Studies - Research and Proposals|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Wenzel, Helene|~|San Francisco State University",June L. Mazer Lesbian Archives,,individuals,,,,"Proposal for the Course ""Lesbian Literature and Feminism""",1980-04-11,"April 11, 1980",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019s1zq/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjcm,ark:/21198/zz000s2z8d,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjd4,text,copyrighted,N,unpublished,United States,,"Phillips, Liz",,eng,,"Lesbian Studies - Research and Proposals|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",June L. Mazer Lesbian Archives,,individuals,,private,,Notes on Tentative Reorganization of Lesbian Studies Anthology,1980-06-06,"June 6, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tjcm/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjg5,ark:/21198/zz000s2z8d,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjhp,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbian Studies - Research and Proposals|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,June L. Mazer Lesbian Archives,,individuals,,,,List of Tentative Contents of Lesbian Studies Anthology,1980/1981,Between 1980 and 1981,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tjg5/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz0019tjj6,ark:/21198/zz000s2z8d,2,Completed,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tjkq,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbian Studies - Research and Proposals|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",,June L. Mazer Lesbian Archives,,individuals,,,,Lesbian Studies - Past and Present Anthology - Original Proposal,1980/1981,Between 1980 and 1981,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019tjj6/manifest
