"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz0013xfx9","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xfx9-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xfx9",""
"Picart (Bernard) Collection","ark:/21198/zz0013xfzt","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xfzt-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xfzt",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg0t","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg0t-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg0t",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg1b","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg1b-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg1b",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg2v","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg2v-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg2v",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg3c","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg3c-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg3c",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg4w","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg4w-1-master.tif","","","7","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg4w",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg5d","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg5d-1-master.tif","","","8","","","text","","","","","","AVERTISSEMENT","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg5d",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg6x","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg6x-1-master.tif","","","9","","","text|~|still image","","","","","","Page 003","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg6x",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg7f","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg7f-1-master.tif","","","10","","","text","","","","","","Page 004","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg7f",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg8z","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg8z-1-master.tif","","","11","","","text","","","","","","Page 005","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg8z",""
"Picart (Bernard) Collection","ark:/21198/zz0013xg9g","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xg9g-1-master.tif","","","12","","","text","","","","","","Page 006","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xg9g",""
"Picart (Bernard) Collection","ark:/21198/zz0013xgb0","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xgb0-1-master.tif","","","13","","","text","","","","","","Page 007","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xgb0",""
"Picart (Bernard) Collection","ark:/21198/zz0013xgch","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xgch-1-master.tif","","","14","","","text","","","","","","Page 008","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xgch",""
"Picart (Bernard) Collection","ark:/21198/zz0013xgd1","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xgd1-1-master.tif","","","15","","","text","","","","","","Page 009","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xgd1",""
"Picart (Bernard) Collection","ark:/21198/zz0013xgfj","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xgfj-1-master.tif","","","16","","","text","","","","","","Page 010","v","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xgfj",""
"Picart (Bernard) Collection","ark:/21198/zz0013xgg2","ark:/21198/zz0009pfk3","2","Completed","Page","picart/masters/21198-zz0013xgg2-1-master.tif","","","17","","","text","","","","","","Page 011","r","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013xgg2",""
