"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001406gh","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz001406gh-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001406gh",""
"Picart (Bernard) Collection","ark:/21198/zz00152524","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz00152524-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152524",""
"Picart (Bernard) Collection","ark:/21198/zz0015253n","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz0015253n-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015253n",""
"Picart (Bernard) Collection","ark:/21198/zz00152545","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz00152545-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152545",""
"Picart (Bernard) Collection","ark:/21198/zz0015255p","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz0015255p-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015255p",""
"Picart (Bernard) Collection","ark:/21198/zz00152566","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz00152566-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152566",""
"Picart (Bernard) Collection","ark:/21198/zz0015257q","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz0015257q-1-master.tif","","","7","","","text","","","","","","half title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015257q",""
"Picart (Bernard) Collection","ark:/21198/zz00152587","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz00152587-1-master.tif","","","8","","","text","","","","","","half title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152587",""
"Picart (Bernard) Collection","ark:/21198/zz0015259r","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz0015259r-1-master.tif","","","9","","","text|~|still image","","","","","","title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015259r",""
"Picart (Bernard) Collection","ark:/21198/zz001525b8","ark:/21198/zz0009pfmm","2","Completed","Page","picart/masters/21198-zz001525b8-1-master.tif","","","10","","","text","","","","","","title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001525b8",""
