"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019sfx0","ark:/21198/zz0019rs71","2","Completed","Page","cruikshank/images/masters/21198-zz0019sfx0_739518_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019sfx0"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019sg2j","ark:/21198/zz0019sg0h","2","Completed","Page","cruikshank/images/masters/21198-zz0019sg2j_739540_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019sg2j"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019sg32","ark:/21198/zz0019sg0h","2","Completed","Page","cruikshank/images/masters/21198-zz0019sg32_739544_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019sg32"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019t90j","ark:/21198/zz0019t8zj","2","Completed","Page","cruikshank/images/masters/21198-zz0019t90j_741795_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t90j"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019t92k","ark:/21198/zz0019t912","2","Completed","Page","cruikshank/images/masters/21198-zz0019t92k_741814_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t92k"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019t954","ark:/21198/zz0019t933","2","Completed","Page","cruikshank/images/masters/21198-zz0019t954_741825_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t954"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019t9xh","ark:/21198/zz0019t9kb","2","Completed","Page","cruikshank/images/masters/21198-zz0019t9xh_741835_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019t9xh"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tcqc","ark:/21198/zz0019tbmb","2","Completed","Page","cruikshank/images/masters/21198-zz0019tcqc_741847_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcqc"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tcsd","ark:/21198/zz0019tcrw","2","Completed","Page","cruikshank/images/masters/21198-zz0019tcsd_741858_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcsd"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tcwz","ark:/21198/zz0019tcvf","2","Completed","Page","cruikshank/images/masters/21198-zz0019tcwz_741873_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcwz"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019tcxg","ark:/21198/zz0019tcvf","2","Completed","Page","cruikshank/images/masters/21198-zz0019tcxg_741883_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tcxg"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019td00","ark:/21198/zz0019tcz0","2","Completed","Page","cruikshank/images/masters/21198-zz0019td00_741913_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019td00"
