"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Subject","Rights.copyrightStatus","Name.repository","Name.subject","Name.donor","Publisher.publisherName","Name.designer","Title","Relation.relatedTo","AltTitle.descriptive","Format.medium","Format.extent","Format.dimensions","Alt ID.collection","Alt ID.local","Date.creation","Date.normalized","Name.creator","Format.material","Description.note","Relation.isPartOf","Description.abstract","Description.physicalDescription","Format.technique","Format","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Retter-Vargas (Yolanda) Collection of Orphan Photographs","ark:/21198/z16417bw","ark:/21198/zz001d042n","2","Completed","Page","rettervargas/masters/21198-zz001d042n_754298_master.tif","1","","","","","","","","","","","","front","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16417bw",""
"Retter-Vargas (Yolanda) Collection of Orphan Photographs","ark:/21198/z12c0gm5","ark:/21198/zz001d042n","2","Completed","Page","rettervargas/masters/21198-zz001d042n_1686051_master.tif","2","","","","","","","","","","","","back","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0gm5",""
