Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Publisher.publisherName,Name.designer,Title,Relation.relatedTo,AltTitle.descriptive,Format.medium,Format.extent,Format.dimensions,Alt ID.collection,Alt ID.local,Date.creation,Date.normalized,Name.creator,Format.material,Description.note,Relation.isPartOf,Description.abstract,Description.physicalDescription,Format.technique,Format,Opac url,IIIF Access URL,IIIF Manifest URL
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz001d03wk,ark:/21198/zz0019q5n3,2,Completed,Work,,,,,paged,text,correspondence,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Letter to Steve 1997,,,,,,Yolanda Retter-Vargas Collection of Orphan Photographs,CSRC_ORPHAN_STEVE_NANCY_0004A.tif,,,,,Letter to Steve 1997,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj41dr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d03wk/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz001d042n,ark:/21198/zz0019q5n3,2,Completed,Work,,,,,paged,text,correspondence,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Letter to Steve 1997,Yolanda Retter Vargas Papers,,,1 Letter,8 7/8 x 5 7/8,Yolanda Retter-Vargas Collection of Orphan Photographs,CSRC_ORPHAN_STEVE_NANCY_0003A.tif,1997 September,1990/1999,,,Letter to Steve 9/1997,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16417bw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d042n/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz001d0f62,ark:/21198/zz0019q5n3,2,Completed,Work,,,,,paged,text,correspondence,,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Letter to Steve 1997,,,,,,Yolanda Retter-Vargas Collection of Orphan Photographs,CSRC_ORPHAN_STEVE_NANCY_0005A.tif,,,,,Letter to Steve 1997,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm005q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d0f62/manifest
