"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Rights.countryCreation","Rights.rightsHolderContact","Rights.servicesContact","Language","Name.photographer","Name.subject","Subject","Name.repository","Name.creator","Relation.isPartOf","Alt ID.local","Format.dimensions","Format.extent","Title","Date.creation","Description.note","Publisher.publisherName","Description.contents","Description.abstract","Date.normalized","Format.medium","Finding Aid URL"," Opac url","AltTitle.other","IIIF Manifest URL"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfh78","ark:/21198/zz0008hj24","2","Completed","Work","","","","","text","paged","","","","","","","","","","eng","","","Griffith family--Archives","","Griffith, Griffith J.","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 15, folder 2, #5","","1 letter (5 pages)","Griffth, Griffith J., typescript copy of letter to his son, San Quentin Prison, December 20, 1905","December 20, 1905","","","","Griffith describes his life in prison, offers advice about his son's education, mentions Griffith Park, shares news of deaths of acquaintances.","1905-12-20","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfh78/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfmd9","ark:/21198/zz0008hj24","2","Completed","Work","","","","","text","paged","","","","","","","","","","eng","","","Griffith family--Archives","","Griffith, Griffith J.","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 15, folder 4, #17","","1 letter","Griffith, Griffith J., typed letter to the Mayor and City Council of Los Angeles, December 21, 1912","December 21, 1912","","","","Proposes donation of Griffith Park to city of Los Angeles.","1912-12-21","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfmd9/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfmwj","ark:/21198/zz0008hj24","2","Completed","Work","","","","","text","paged","","","","","","","","","","eng","","Griffith, Griffith J.","Griffith family--Archives","","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 15, folder 4, #18","","1 page","Griffith, Griffith J., naturalization certificate, 1877","October 22, 1877","Certificate of act of naturalization for Griffith J. Griffith, a native of Wales, signed October 22, 1877, in San Francisco, CA.","","","","1877-10-22","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfmwj/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfn55","ark:/21198/zz0008hj24","1","In progress","Work","","","","","text","paged","","private","","","","","","","","eng","","","Griffith family--Archives","","Griffith, Griffith J.","","Box 15, folder 4","","1 item (10 pages)","Last will and testament of Griffith J. Griffith","February 8, 1916","Typescript copy","","","Makes provisions for distribution of funds, personal effects and property. Directs that funds from a trust be used to construct the Greek Theater and Observatory in Griffith Park, Los Angeles.","1916-02-08","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfn55/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfvc5","ark:/21198/zz0008hj24","2","Completed","Work","","","","","text","paged","","","","","","","","","","eng","","","Griffith family--Archives","","Griffith, Griffith J.","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 15, folder 4, #20","","1 item (2 pages)","Deed of Rancho Los Feliz from Griffith J. Griffith and his wife to the city of Los Angeles","March 5, 1898","Typescript copy","","Griffith gives land to Los Angeles for a public park.","","1898-03-05","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfvc5/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfvms","ark:/21198/zz0008hj24","2","Completed","Work","","","","","text","paged","","","","","","","","","","eng","","","Griffith family--Archives","","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 16, folder 2, #1","","1 item","Deed from Harry J. and Annie L. Pinney to J. Edward Goodell","March 19, 1896","","","Deed transferring land in Rancho Los Feliz from Harry J. Pinney and his wife to J. Edward Goodell.","","1896-03-19","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfvms/manifest"
"Griffith Family Papers.  Collection 2060","ark:/21198/zz001nfvvd","ark:/21198/zz0008hj24","2","Completed","Work","","","","","still image|~|text","paged","","","","","","","","","","eng","","Griffith, Griffith J.","Griffith family--Archives","","","Griffith Family Papers (Collection 2060). UCLA Library Special Collections, Charles E. Young Research Library.","Box 19, folder 3, #2","","1 pamphlet","Los Angeles Christmas Present [pamphlet]","","","","Pamphlet with photograph of Griffith J. Griffith, describing his gift of $100,000 to the City of Los Angeles for an observatory on Mt. Hollywood.","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nfvvd/manifest"
