"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject","Name.author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","Alt ID.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Description.abstract","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz0015vcjk","","2","Completed","Collection","","","","","","","","","","","","","","","","","","Stiftsbibliothek Sankt Gallen|~|Badische Landesbibliothek Karlsruhe","","St. Gall Manuscripts","","","","","St Gall Mss.","","","","","","The monastery of St. Gall in Switzerland was founded in 719 and still exists today.  This collection is a group of manuscripts known to have been held in the St. Gall Library in the ninth century. Also included in this collection are manuscripts from the same period held in the nearby monastery of Reichenau. Analysis of extant monastic library catalogues and study of the hands of known scribes has made it possible to identify approximately seventy extant manuscripts that can be placed with certainty at these two monasteries in the course of the ninth century. By selecting one of the St. Gallen or Reichenau manuscripts from the list you can examine digital images of these manuscripts, codicological descriptions, bibliographies, as well as the texts that they contain. Currently, several manuscripts are available and more are being added continuously.","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0015vcjk"
"St Gall Manuscripts","ark:/21198/zz0028rntv","ark:/21198/zz0015vcjk","2","Completed","Work","","","","","","paged","","","","","","","","","","","","Zentralbibliothek Zürich","","Zurich, Zentralbibliothek, Rh. Hist. 28","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028rntv/manifest"
