"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","Relation.pageNumber","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vmqt","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vmqt-1-master.tif","1","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 1","r","","","","","","","","","","","","","","","","","21198-zz0009vmqt-1-thumbnail.jpg","21198-zz0009vmqt-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vmqt",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vpm7","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vpm7-1-master.tif","2","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 2","v","","","","","","","","","","","","","","","","","21198-zz0009vpm7-1-thumbnail.jpg","21198-zz0009vpm7-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vpm7",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vpp8","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vpp8-1-master.tif","3","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 3","r","","","","","","","","","","","","","","","","","21198-zz0009vpp8-1-thumbnail.jpg","21198-zz0009vpp8-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vpp8",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vpr9","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vpr9-1-master.tif","4","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 4","v","","","","","","","","","","","","","","","","","21198-zz0009vpr9-1-thumbnail.jpg","21198-zz0009vpr9-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vpr9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vptb","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vptb-1-master.tif","5","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 5","r","","","","","","","","","","","","","","","","","21198-zz0009vptb-1-thumbnail.jpg","21198-zz0009vptb-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vptb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vpwc","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vpwc-1-master.tif","6","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 6","v","","","","","","","","","","","","","","","","","21198-zz0009vpwc-1-thumbnail.jpg","21198-zz0009vpwc-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vpwc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vpzd","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vpzd-1-master.tif","7","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 7","r","","","","","","","","","","","","","","","","","21198-zz0009vpzd-1-thumbnail.jpg","21198-zz0009vpzd-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vpzd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vq2f","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vq2f-1-master.tif","8","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 8","v","","","","","","","","","","","","","","","","","21198-zz0009vq2f-1-thumbnail.jpg","21198-zz0009vq2f-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vq2f",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vq4g","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vq4g-1-master.tif","9","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 9","r","","","","","","","","","","","","","","","","","21198-zz0009vq4g-1-thumbnail.jpg","21198-zz0009vq4g-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vq4g",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vq6h","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vq6h-1-master.tif","10","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 10","v","","","","","","","","","","","","","","","","","21198-zz0009vq6h-1-thumbnail.jpg","21198-zz0009vq6h-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vq6h",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz0009vq8j","ark:/21198/zz0009vj21","2","Completed","Page","medren/masters/21198-zz0009vq8j-1-master.tif","11","","","","","","","","","pd","","","","","Coll. 170. Ms. 50. Page 11","r","","","","","","","","","","","","","","","","","21198-zz0009vq8j-1-thumbnail.jpg","21198-zz0009vq8j-1-master.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009vq8j",""
