Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,Relation.pageNumber,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s76v,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s76v-1-master.tif,18,,,,,,,,,pd,,,,,18,v,,,,,,,,,,,,,,,,,21198-zz0009s76v-1-thumbnail.jpg,21198-zz0009s76v-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s76v
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s77c,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s77c-1-master.tif,19,,,,,,,,,pd,,,,,19,r,,,,,,,,,,,,,,,,,21198-zz0009s77c-1-thumbnail.jpg,21198-zz0009s77c-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s77c
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s78w,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s78w-1-master.tif,20,,,,,,,,,pd,,,,,20,v,,,,,,,,,,,,,,,,,21198-zz0009s78w-1-thumbnail.jpg,21198-zz0009s78w-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s78w
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s79d,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s79d-1-master.tif,21,,,,,,,,,pd,,,,,21,r,,,,,,,,,,,,,,,,,21198-zz0009s79d-1-thumbnail.jpg,21198-zz0009s79d-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s79d
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7bx,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7bx-1-master.tif,22,,,,,,,,,pd,,,,,22,v,,,,,,,,,,,,,,,,,21198-zz0009s7bx-1-thumbnail.jpg,21198-zz0009s7bx-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7bx
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7cf,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7cf-1-master.tif,23,,,,,,,,,pd,,,,,23,r,,,,,,,,,,,,,,,,,21198-zz0009s7cf-1-thumbnail.jpg,21198-zz0009s7cf-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7cf
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7dz,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7dz-1-master.tif,24,,,,,,,,,pd,,,,,24,v,,,,,,,,,,,,,,,,,21198-zz0009s7dz-1-thumbnail.jpg,21198-zz0009s7dz-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7dz
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7fg,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7fg-1-master.tif,25,,,,,,,,,pd,,,,,25,r,,,,,,,,,,,,,,,,,21198-zz0009s7fg-1-thumbnail.jpg,21198-zz0009s7fg-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7fg
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7kj,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7kj-1-master.tif,26,,,,,,,,,pd,,,,,26,v,,,,,,,,,,,,,,,,,21198-zz0009s7kj-1-thumbnail.jpg,21198-zz0009s7kj-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7kj
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7m2,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7m2-1-master.tif,27,,,,,,,,,pd,,,,,27,r,,,,,,,,,,,,,,,,,21198-zz0009s7m2-1-thumbnail.jpg,21198-zz0009s7m2-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7m2
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7nk,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7nk-1-master.tif,28,,,,,,,,,pd,,,,,28,v,,,,,,,,,,,,,,,,,21198-zz0009s7nk-1-thumbnail.jpg,21198-zz0009s7nk-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7nk
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7p3,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7p3-1-master.tif,29,,,,,,,,,pd,,,,,29,r,,,,,,,,,,,,,,,,,21198-zz0009s7p3-1-thumbnail.jpg,21198-zz0009s7p3-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7p3
Medieval and Renaissance Manuscripts,ark:/21198/zz0009s7qm,ark:/21198/zz0009s6dg,2,Completed,Page,medren/masters/21198-zz0009s7qm-1-master.tif,30,,,,,,,,,pd,,,,,30,v,,,,,,,,,,,,,,,,,21198-zz0009s7qm-1-thumbnail.jpg,21198-zz0009s7qm-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s7qm
