Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.permission,Name.subject,Name.photographer,Rights.statementLocal,Rights.copyrightStatus,Alt ID.local,Relation.isPartOf,Title,Date.creation,Date.normalized,Format.dimensions,Format.extent,Name.repository,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jnqk5,,1,Completed,Collection,,,,,,,Y,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,,,Arkatov (James) World Music Photographs,,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002jnqk5
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxqhq,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxqhq_2366938_master.tif,,,,still image,color photographs,,"Khan, Shujaat","Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp001,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Ustad Shujaat Khan,March 1997,1997-03,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxqhq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxqhq/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxqj7,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxqj7_2367133_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp002,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of India Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxqj7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxqj7/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxqkr,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxqkr_2367145_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp003,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Mexico Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxqkr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxqkr/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxszd,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxszd_2367165_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp004,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxszd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxszd/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt0d,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt0d_2367180_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp005,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of India Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : b&w,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt0d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt0d/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt1x,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/srgb/21198-zz002jxt1x_2367183_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp006,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Mexico Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt1x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt1x/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt2f,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt2f_2367210_master.tif,,,,still image,black-and-white photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp015,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Mexico Ensemble,"May 15, 2008",2008-05-15,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt2f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt2f/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt3z,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt3z_2367204_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp013,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,3 1/2 x 5 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt3z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt3z/manifest
Ethnomusicology Archive: James Arkatov World Music Photographs,ark:/21198/zz002jxt4g,ark:/21198/zz002jnqk5,1,Completed,Work,JamesArkatov/image/21198-zz002jxt4g_2367213_master.tif,,,,still image,color photographs,,,"Arkatov, James, 1920-",Rights are owned by the Regents of the University of California. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owner.  Responsibility for any use rests exclusively with the user.,copyrighted,cleth_201501_amp016,"James Arkatov World Music Photographs. Ethnomusicology Archive, University of California, Los Angeles",Music of Bali Ensemble,"May 17, 2008",2008-05-17,4 x 6 in.,1 photograph : color,"University of California, Los Angeles. Ethnomusicology Archive",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jxt4g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jxt4g/manifest
