"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015st4r","ark:/21198/zz0015ssrk","2","Completed","Page","scwu/images/masters/21198-zz0015st4r-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015st4r"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015st58","ark:/21198/zz0015ssrk","2","Completed","Page","scwu/images/masters/21198-zz0015st58-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015st58"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015st8t","ark:/21198/zz0015sss3","2","Completed","Page","scwu/images/masters/21198-zz0015st8t-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015st8t"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015st9b","ark:/21198/zz0015sss3","2","Completed","Page","scwu/images/masters/21198-zz0015st9b-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015st9b"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stbv","ark:/21198/zz0015sstm","2","Completed","Page","scwu/images/masters/21198-zz0015stbv-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stbv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stcc","ark:/21198/zz0015sstm","2","Completed","Page","scwu/images/masters/21198-zz0015stcc-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stcc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stdw","ark:/21198/zz0015sstm","2","Completed","Page","scwu/images/masters/21198-zz0015stdw-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stdw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stfd","ark:/21198/zz0015ssv4","2","Completed","Page","scwu/images/masters/21198-zz0015stfd-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stfd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stgx","ark:/21198/zz0015ssv4","2","Completed","Page","scwu/images/masters/21198-zz0015stgx-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stgx"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stkg","ark:/21198/zz0015sswn","2","Completed","Page","scwu/images/masters/21198-zz0015stkg-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stkg"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stm0","ark:/21198/zz0015sswn","2","Completed","Page","scwu/images/masters/21198-zz0015stm0-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stm0"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stnh","ark:/21198/zz0015sswn","2","Completed","Page","scwu/images/masters/21198-zz0015stnh-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stnh"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stp1","ark:/21198/zz0015sswn","2","Completed","Page","scwu/images/masters/21198-zz0015stp1-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stp1"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015stz5","ark:/21198/zz0015ssx5","2","Completed","Page","scwu/images/masters/21198-zz0015stz5-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015stz5"
