Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract,IIIF Manifest URL
Cruikshank (Margaret) Collection,ark:/21198/zz001b3vs5,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgkv8,text,copyrighted,Y,published,United States|~|Boston (Mass.),,"Potter, Clare",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Sojouner Publications|~|Angel Press",,,individuals,,,,Review of The Lesbian Path,1980-06,"June, 1980",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001b3vs5/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkws,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgkx9,text,copyrighted,N,published,San Francisco (Calif.)|~|United States,,"Rogers, Lynn",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|San Francisco Bay Guardian|~|Angel Press",,,individuals,,private,,Review of The Lesbian Path,1980-04-24,"April 24, 1980",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgkws/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm0t,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgm1b,text,copyrighted,N,published,United States,,Unknown,,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Angel Press|~|Telewoman",,,individuals,,private,,Review of The Lesbian Path,1980-05,"May, 1980",Rights.generalNote: Need to obtain permission to publish from original author. Original author unknown (last name not provided).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgm0t/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm2v,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgm3c,text,copyrighted,N,published,Monterey County (Calif.)|~|United States,,Unknown,,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Demeter: Women's News of Monterey Bay|~|Angel Press",,,individuals,,private,,Review of The Lesbian Path,1980-10,"October, 1980",Rights.generalNote: Need to obtain permission to publish from original author. Original author unknown (first name not provided).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgm2v/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm4w,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgn6d,text,copyrighted,N,published,United States,,Unknown,,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Advocate Press|~|Angel Press",,,individuals,,private,,Review of The Lesbian Path,1981-03-19,"March 19, 1981",Rights.generalNote: Need to obtain permission to publish from original author. Original author unknown (first name not provided).,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgm4w/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgn8f,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgn9z,text,copyrighted,N,published,United States,,"Tilchen, Maida",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Angel Press|~|Gay Community News",,,individuals,,private,,Review of The Lesbian Path,1980-02,"February, 1980",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgn8f/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgnbg,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgnc0,text,copyrighted,Y,published,United States,,"Cruikshank, Margaret",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",Naiad Press|~|Angel Press,,,individuals,,,,Memo to the Contributors to Lesbian Path Regarding New Book Distributor and Expenses,1980-02,"February, 1980",,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgnbg/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpr5,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgpt6,text,copyrighted,N,published,"United States|~|Toronto, Canada",,"Ramsay, Heather",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Body politic (Toronto, Ont.)|~|Angel Press",,,individuals,,private,,Review of The Lesbian Path,1980-08,"August, 1980",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgpr5/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpvq,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgpxr,text,copyrighted,unknown,unknown,United States|~|Tallahassee (Fla.),Naiad Press,,,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,individuals,,private,,Flyer for the Release of the New Edition of The Lesbian Path,1981,1981,Rights.generalNote: Unsure whether or not permission is granted to reproduce flyers.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgpvq/manifest
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpz8,ark:/21198/zz000s2z8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgq08,text,copyrighted,N,unpublished,United States,,"Grier, Barbara",,eng,,"The Lesbian Path - Book Reviews and Publicity Announcements|~|Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Naiad Press",,,individuals,,private,,Letter to Contributors to The Lesbian Path Regarding New Edition of Book,1981-04-27,"April 27, 1981",Rights.generalNote: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgpz8/manifest
