Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Alt ID.local,Description.abstract,Description.note,AltTitle.uniform,Publisher.placeOfOrigin,Date.creation,Relation.textDirection,Format.dimensions,Publisher.publisherName,Relation.isPartOf,Format.medium,Format.extent,Relation.pageNumber,Date.normalized
Medieval and Renaissance Manuscripts,ark:/21198/zz0009gxc2,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz0009gxc2-1-master.tif|~|medren/masters/21198-zz0009gxc2-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,2,,,,,pd,,,,,Rouse Ms. 1. Page 1,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mbr,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mbr-1-master.tif|~|medren/masters/21198-zz000s9mbr-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,3,,,,,pd,,,,,Rouse Ms. 1. Page 2,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mc8,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mc8-1-master.tif|~|medren/masters/21198-zz000s9mc8-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,4,,,,,pd,,,,,Rouse Ms. 1. Page 3,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mds,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mds-1-master.tif|~|medren/masters/21198-zz000s9mds-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,5,,,,,pd,,,,,Rouse Ms. 1. Page 4,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mf9,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mf9-1-master.tif|~|medren/masters/21198-zz000s9mf9-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,6,,,,,pd,,,,,Rouse Ms. 1. Page 5,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mgt,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mgt-1-master.tif|~|medren/masters/21198-zz000s9mgt-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,7,,,,,pd,,,,,Rouse Ms. 1. Page 6,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mhb,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mhb-1-master.tif|~|medren/masters/21198-zz000s9mhb-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,8,,,,,pd,,,,,Rouse Ms. 1. Page 7,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mjv,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mjv-1-master.tif|~|medren/masters/21198-zz000s9mjv-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,9,,,,,pd,,,,,Rouse Ms. 1. Page 8,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mkc,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mkc-1-master.tif|~|medren/masters/21198-zz000s9mkc-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,10,,,,,pd,,,,,Rouse Ms. 1. Page 9,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mmw,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mmw-1-master.tif|~|medren/masters/21198-zz000s9mmw-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,11,,,,,pd,,,,,Rouse Ms. 1. Page 10,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mnd,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mnd-1-master.tif|~|medren/masters/21198-zz000s9mnd-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,12,,,,,pd,,,,,Rouse Ms. 1. Page 11,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n44,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n44-1-master.tif|~|medren/masters/21198-zz000s9n44-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,13,,,,,pd,,,,,Rouse Ms. 1. Page 12,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n5n,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n5n-1-master.tif|~|medren/masters/21198-zz000s9n5n-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,14,,,,,pd,,,,,Rouse Ms. 1. Page 13,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n65,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n65-1-master.tif|~|medren/masters/21198-zz000s9n65-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,15,,,,,pd,,,,,Rouse Ms. 1. Page 14,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n7p,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n7p-1-master.tif|~|medren/masters/21198-zz000s9n7p-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,16,,,,,pd,,,,,Rouse Ms. 1. Page 15,r,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n86,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n86-1-master.tif|~|medren/masters/21198-zz000s9n86-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,17,,,,,pd,,,,,Rouse Ms. 1. Page 16,v,,,,,,,,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9n9q,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9n9q-1-master.tif|~|medren/masters/21198-zz000s9n9q-1-master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,18,,,,,pd,,,,,Rouse Ms. 1. Page 17,r,,,,,,,,,,,,,,
