"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hk1zh","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk1zh-1-master.tif","","","1","","","text","","","","","","front cover","r","","","","","001Picart_NL_V6_R_0001","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk1zh",""
"Picart (Bernard) Collection","ark:/21198/zz001hk20h","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk20h-1-master.tif","","","2","","","text","","","","","","inside front cover (endsheet)","v","","","","","002Picart_NL_V6_V_0417","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk20h",""
"Picart (Bernard) Collection","ark:/21198/zz001hk211","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk211-1-master.tif","","","3","","","text","","","","","","blank page (fly sheet)","r","","","","","003Picart_NL_V6_R_0002","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk211",""
"Picart (Bernard) Collection","ark:/21198/zz001hk22j","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk22j-1-master.tif","","","4","","","text","","","","","","blank page","v","","","","","002Picart_NL_V6_V_0417","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk22j",""
"Picart (Bernard) Collection","ark:/21198/zz001hk232","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk232-1-master.tif","","","5","","","text","","","","","","blank page","r","","","","","005Picart_NL_V6_R_0003","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk232",""
"Picart (Bernard) Collection","ark:/21198/zz001hk24k","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk24k-1-master.tif","","","6","","","text","","","","","","blank page","v","","","","","006Picart_NL_V6_V_0415","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk24k",""
"Picart (Bernard) Collection","ark:/21198/zz001hk253","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk253-1-master.tif","","","7","","","text","","","","","","Title page : NAAUWKEURIGE BESCHRYVING der UITWENDIGE GODSDIENST-PLICHTEN, KERK-ZEEDEN en GEWOONTENS van alle VOLKEREN der WEERELT...","r","","","","","007Picart_NL_V6_R_0004","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk253",""
"Picart (Bernard) Collection","ark:/21198/zz001hk26m","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk26m-1-master.tif","","","8","","","text","","","","","","title page verso","v","","","","","008Picart_NL_V6_V_0414","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk26m",""
"Picart (Bernard) Collection","ark:/21198/zz001hk274","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk274-1-master.tif","","","9","","","text","","","","","","WAARSCHOUWING (disclaimer)","r","","","","","009Picart_NL_V6_R_0005","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk274",""
"Picart (Bernard) Collection","ark:/21198/zz001hk28n","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk28n-1-master.tif","","","10","","","text","","","","","","WAARSCHOUWING (disclaimer)- verso","v","","","","","010Picart_NL_V6_V_0413","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk28n",""
"Picart (Bernard) Collection","ark:/21198/zz001hk295","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk295-1-master.tif","","","11","","","text","","","","","","verklaring de afbeeldsels (design statement) 00","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk295",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2bp","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2bp-1-master.tif","","","12","","","text","","","","","","Verklaaring (design statement), page 01","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2bp",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2c6","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2c6-1-master.tif","","","13","","","text","","","","","","Verklaaring (design statement), page 02","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2c6",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2dq","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2dq-1-master.tif","","","14","","","text","","","","","","Verklaaring (design statement), page 03","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2dq",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2f7","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2f7-1-master.tif","","","15","","","text","","","","","","Folio 1., page 1","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2f7",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2js","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2js-1-master.tif","","","18","","","text","","","","","","page 2","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2js",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2h8","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2h8-1-master.tif","","","19","","","text","","","","","","page 3","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2h8",""
"Picart (Bernard) Collection","ark:/21198/zz001ndq24","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001ndq24_1308570_master.tif","","","20","","","","","","","","","page 4","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndq24",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2k9","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2k9-1-master.tif","","","21","","","text","","","","","","page 5","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2k9",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2mt","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2mt-1-master.tif","","","22","","","text","","","","","","page 6","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2mt",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2nb","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2nb-1-master.tif","","","23","","","text","","","","","","page 7","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2nb",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2pv","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2pv-1-master.tif","","","24","","","text","","","","","","page 8","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2pv",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2qc","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2qc-1-master.tif","","","25","","","text","","","","","","page 9","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2qc",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2rw","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2rw-1-master.tif","","","26","","","text","","","","","","page 10","v","","","","","024Picart_NL_V6_V_0406","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2rw",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2sd","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2sd-1-master.tif","","","27","","","text","","","","","","page 11","r","","","","","025Picart_NL_V6_R_0013","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2sd",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2tx","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2tx-1-master.tif","","","28","","","text","","","","","","page 12","v","","","","","026Picart_NL_V6_V_0405","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2tx",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2vf","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2vf-1-master.tif","","","29","","","text","","","","","","page 13","r","","","","","027Picart_NL_V6_R_0014","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2vf",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2wz","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2wz-1-master.tif","","","30","","","text","","","","","","page 14","v","","","","","028Picart_NL_V6_V_0404","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2wz",""
"Picart (Bernard) Collection","ark:/21198/zz001hk2xg","ark:/21198/zz001hk1x0","2","Completed","Page","picart/masters/21198-zz001hk2xg-1-master.tif","","","31","","","text","","","","","","page 15","r","","","","","029Picart_NL_V6_R_0015","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hk2xg",""
