"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hgn0c","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn0c-1-master.tif","","","1","","","text","","","","","","front cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn0c",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn1w","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn1w-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn1w",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn2d","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn2d-1-master.tif","","","3","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn2d",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn3x","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn3x-1-master.tif","","","4","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn3x",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn4f","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn4f-1-master.tif","","","5","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn4f",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn5z","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn5z-1-master.tif","","","6","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn5z",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn6g","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn6g-1-master.tif","","","7","","","text","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn6g",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn70","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn70-1-master.tif","","","8","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn70",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn8h","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn8h-1-master.tif","","","9","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn8h",""
"Picart (Bernard) Collection","ark:/21198/zz001hgn91","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgn91-1-master.tif","","","10","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgn91",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnbj","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnbj-1-master.tif","","","11","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnbj",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnc2","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnc2-1-master.tif","","","12","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnc2",""
"Picart (Bernard) Collection","ark:/21198/zz001hgndk","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgndk-1-master.tif","","","13","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgndk",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnf3","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnf3-1-master.tif","","","14","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnf3",""
"Picart (Bernard) Collection","ark:/21198/zz001hgngm","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgngm-1-master.tif","","","15","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgngm",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnh4","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnh4-1-master.tif","","","16","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnh4",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnjn","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnjn-1-master.tif","","","17","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnjn",""
"Picart (Bernard) Collection","ark:/21198/zz001hgnk5","ark:/21198/zz001hgmzc","2","Completed","Page","picart/masters/21198-zz001hgnk5-1-master.tif","","","18","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hgnk5",""
