"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hjhmn","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhmn-2-master.tif","","","1","","","text","","","","","","front cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhmn"
"Picart (Bernard) Collection","ark:/21198/zz001hjhn5","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhn5-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhn5"
"Picart (Bernard) Collection","ark:/21198/zz001hjhpp","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhpp-1-master.tif","","","3","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhpp"
"Picart (Bernard) Collection","ark:/21198/zz001hjhq6","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhq6-1-master.tif","","","4","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhq6"
"Picart (Bernard) Collection","ark:/21198/zz001hjhrq","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhrq-1-master.tif","","","5","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhrq"
"Picart (Bernard) Collection","ark:/21198/zz001hjhs7","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhs7-1-master.tif","","","6","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhs7"
"Picart (Bernard) Collection","ark:/21198/zz001hjhtr","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhtr-1-master.tif","","","7","","","text","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhtr"
"Picart (Bernard) Collection","ark:/21198/zz001hjhv8","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhv8-1-master.tif","","","8","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhv8"
"Picart (Bernard) Collection","ark:/21198/zz001hjhws","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhws-1-master.tif","","","9","","","text","","","","","","table of contents 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhws"
"Picart (Bernard) Collection","ark:/21198/zz001hjhx9","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhx9-1-master.tif","","","10","","","text","","","","","","table of contents 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhx9"
"Picart (Bernard) Collection","ark:/21198/zz001hjhzt","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjhzt-1-master.tif","","","11","","","text","","","","","","declaration 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjhzt"
"Picart (Bernard) Collection","ark:/21198/zz001hjj0t","ark:/21198/zz001hjhk4","2","Completed","ChildWork","picart/masters/21198-zz001hjj0t-1-master.tif","","","12","","","text","","","","","","declaration 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hjj0t"
