"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hg16s","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg16s-1-master.tif","","","18","","","text","","","","","","general preface 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg16s",""
"Picart (Bernard) Collection","ark:/21198/zz001hg179","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg179-1-master.tif","","","19","","","text","","","","","","general preface 05","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg179",""
"Picart (Bernard) Collection","ark:/21198/zz001hg18t","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg18t-1-master.tif","","","20","","","text","","","","","","general preface 06","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg18t",""
"Picart (Bernard) Collection","ark:/21198/zz001hg19b","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg19b-1-master.tif","","","21","","","text","","","","","","general preface 07","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg19b",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1bv","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1bv-1-master.tif","","","22","","","text","","","","","","general preface 08","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1bv",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1cc","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1cc-1-master.tif","","","23","","","text","","","","","","preface 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1cc",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1dw","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1dw-1-master.tif","","","24","","","text","","","","","","preface 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1dw",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1fd","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1fd-1-master.tif","","","25","","","text","","","","","","preface 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1fd",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1gx","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1gx-1-master.tif","","","26","","","text","","","","","","preface 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1gx",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1hf","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1hf-1-master.tif","","","27","","","text","","","","","","preface 05","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1hf",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1jz","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1jz-1-master.tif","","","28","","","text","","","","","","preface 06","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1jz",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1kg","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1kg-1-master.tif","","","29","","","text","","","","","","preface 07","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1kg",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1m0","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1m0-1-master.tif","","","30","","","text","","","","","","preface 08","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1m0",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1nh","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1nh-1-master.tif","","","31","","","text","","","","","","preface 09","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1nh",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1p1","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1p1-1-master.tif","","","32","","","text","","","","","","preface 10","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1p1",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1qj","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1qj-1-master.tif","","","33","","","text","","","","","","preface 11","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1qj",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1r2","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1r2-1-master.tif","","","34","","","text","","","","","","naamen der persoonen i","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1r2",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1sk","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1sk-1-master.tif","","","35","","","text","","","","","","naamen der persoonen ii","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1sk",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1t3","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1t3-1-master.tif","","","36","","","text","","","","","","naamen der persoonen iii","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1t3",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1vm","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1vm-1-master.tif","","","37","","","text","","","","","","page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1vm",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1w4","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1w4-1-master.tif","","","38","","","text","","","","","","page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1w4",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1xn","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1xn-1-master.tif","","","39","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1xn",""
"Picart (Bernard) Collection","ark:/21198/zz001hg1z5","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg1z5-1-master.tif","","","40","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg1z5",""
"Picart (Bernard) Collection","ark:/21198/zz001hg205","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg205-1-master.tif","","","41","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg205",""
