"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hhshh","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhshh-1-master.tif","","","1","","","text","","","","","","front cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhshh",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsj1","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsj1-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsj1",""
"Picart (Bernard) Collection","ark:/21198/zz001hhskj","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhskj-1-master.tif","","","3","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhskj",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsm2","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsm2-1-master.tif","","","4","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsm2",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsnk","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsnk-1-master.tif","","","5","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsnk",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsp3","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsp3-1-master.tif","","","6","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsp3",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsqm","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsqm-1-master.tif","","","7","","","text","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsqm",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsr4","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsr4-1-master.tif","","","8","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsr4",""
"Picart (Bernard) Collection","ark:/21198/zz001hhssn","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhssn-1-master.tif","","","9","","","text","","","","","","page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhssn",""
"Picart (Bernard) Collection","ark:/21198/zz001hhst5","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhst5-1-master.tif","","","10","","","text","","","","","","page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhst5",""
"Picart (Bernard) Collection","ark:/21198/zz001hhsvp","ark:/21198/zz001hhsg0","2","Completed","Page","picart/masters/21198-zz001hhsvp-1-master.tif","","","11","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hhsvp",""
