"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh544","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh544-1-master.tif","","","25","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh544"
"Picart (Bernard) Collection","ark:/21198/zz001hh55n","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh55n-1-master.tif","","","26","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh55n"
"Picart (Bernard) Collection","ark:/21198/zz001hh565","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh565-1-master.tif","","","27","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh565"
"Picart (Bernard) Collection","ark:/21198/zz001hh57p","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh57p-1-master.tif","","","28","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh57p"
"Picart (Bernard) Collection","ark:/21198/zz001hh586","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh586-1-master.tif","","","29","","","text","","","","","","page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh586"
"Picart (Bernard) Collection","ark:/21198/zz001hh59q","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh59q-1-master.tif","","","30","","","text","","","","","","page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh59q"
"Picart (Bernard) Collection","ark:/21198/zz001hh5b7","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5b7-1-master.tif","","","31","","","text","","","","","","page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5b7"
"Picart (Bernard) Collection","ark:/21198/zz001hh5cr","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5cr-1-master.tif","","","32","","","text","","","","","","page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5cr"
"Picart (Bernard) Collection","ark:/21198/zz001hh5d8","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5d8-1-master.tif","","","33","","","text","","","","","","page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5d8"
"Picart (Bernard) Collection","ark:/21198/zz001hh5fs","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5fs-1-master.tif","","","34","","","text","","","","","","page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5fs"
