Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Language,Description.note,Date.normalized,Date.creation,Title,Alt ID.local,IIIF Manifest URL
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcbvk,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbvk%2F7x63vs9s,still image,pd_usfed,zxx,"""Best of Qufu Shandong""|~|test record. model.",1960/1979,1960-1979,Best of Qufu Shandong,DS1115-2167DF040_40_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcbvk/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcbw3,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbw3%2Fr521mh1f,still image,pd_usfed,,,,,Chaoshuizhen_DS1103-2183DA020_20_a,Chaoshuizhen_DS1103-2183DA020_20_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcbw3/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcbxm,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcbxm%2Fbv10zv7t,still image,pd_usfed,,,,,Chifeng_DS1112-1070DA114_114_a,Chifeng_DS1112-1070DA114_114_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcbxm/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc5q,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc5q%2Fcw306q3h,still image,pd_usfed,,,,,Dajijia_DS1103-2183DF014_14_a,Dajijia_DS1103-2183DF014_14_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcc5q/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc67,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc67%2F5r874k09,still image,pd_usfed,,,,,Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_a,Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcc67/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc7r,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc7r%2F92158s40,still image,pd_usfed,,,,,Feicheng_Shangdong_DS1117-2070DF021_21_a,Feicheng_Shangdong_DS1117-2070DF021_21_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcc7r/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc88,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc88%2F8z38r38c,still image,pd_usfed,,,,,Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_a,Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcc88/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc9s,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcc9s%2Fqk67f76s,still image,pd_usfed,,,,,Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_a,Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gcc9s/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccb9,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccb9%2Fj384tk7s,still image,pd_usfed,,,,,Gaoqing_Shandong_DS1117-2070DF017_17_a,Gaoqing_Shandong_DS1117-2070DF017_17_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gccb9/manifest
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccct,ark:/21198/zz002gcbkf,10,Completed with minimal metadata,Work,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gccct%2F0w96023z,still image,pd_usfed,,,,,Gates_of_Lu_Shandong_DS1115-2167DF043_43_a,Gates_of_Lu_Shandong_DS1115-2167DF043_43_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gccct/manifest
