"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Rights.copyrightStatus","Rights.countryCreation","Type.genre","Rights.permission","Language","Name.creator","Name.repository","Relation.isPartOf","Rights.rightsHolderContact","Rights.servicesContact","Date.normalized","Description.note","Title","Date.creation","Bucketeer State","IIIF Access URL"
"Eisler (George) Collection","ark:/21198/z16m4vxx","ark:/21198/zz002ddr7p","","","Page","george_eisler/image/21198-zz002ddr7p-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4vxx"
"Eisler (George) Collection","ark:/21198/z12z2tnc","ark:/21198/zz002ddr7p","","","Page","george_eisler/image/21198-zz002ddr7p-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2tnc"
"Eisler (George) Collection","ark:/21198/z1z62b67","ark:/21198/zz002ddr7p","","","Page","george_eisler/image/21198-zz002ddr7p-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62b67"
"Eisler (George) Collection","ark:/21198/z1tf1khz","ark:/21198/zz002ddr7p","","","Page","george_eisler/image/21198-zz002ddr7p-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1khz"
"Eisler (George) Collection","ark:/21198/z1pp0tv4","ark:/21198/zz002dj6jd","","","Page","george_eisler/image/21198-zz002dj6jd-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0tv4"
"Eisler (George) Collection","ark:/21198/z1jx0329","ark:/21198/zz002dj6jd","","","Page","george_eisler/image/21198-zz002dj6jd-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx0329"
"Eisler (George) Collection","ark:/21198/z1f49b8f","ark:/21198/zz002dj6jd","","","Page","george_eisler/image/21198-zz002dj6jd-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49b8f"
"Eisler (George) Collection","ark:/21198/z19c8kjq","ark:/21198/zz002dj6jd","","","Page","george_eisler/image/21198-zz002dj6jd-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8kjq"
"Eisler (George) Collection","ark:/21198/z15q6j68","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6j68"
"Eisler (George) Collection","ark:/21198/z11z5sjf","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5sjf"
"Eisler (George) Collection","ark:/21198/z1x65939","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65939"
"Eisler (George) Collection","ark:/21198/z1sf4jck","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4jck"
"Eisler (George) Collection","ark:/21198/z1np3sjh","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3sjh"
"Eisler (George) Collection","ark:/21198/z1hx31sq","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx31sq"
"Eisler (George) Collection","ark:/21198/z1d52935","ark:/21198/zz002dj6kx","","","Page","george_eisler/image/21198-zz002dj6kx-1-master_007.tif","7","","","","","","","","","","","","","","","","Page 7","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52935"
