"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Type.typeOfResource","Thumbnail","Title","Alt ID.local","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xf9","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7tm9","Issue 21","INBA-Jild-21","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xf9/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xgt","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5749","Issue 22","INBA-Jild-22","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xgt/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xhb","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g78f9","Issue 23","INBA-Jild-23","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xhb/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xjv","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5dzt","Issue 24","INBA-Jild-24","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xjv/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xkc","ark:/21198/zz002h5tmf","2","Completed","Work","","","","paged","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11564q8","Issue 25","INBA-Jild-25","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xkc/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xmw","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh57tk","Issue 26","INBA-Jild-26","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xmw/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xnd","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3cqq","Issue 27","INBA-Jild-27","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xnd/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xpx","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x658ph","Issue 28","INBA-Jild-28","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xpx/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xrz","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6x6w","Issue 30","INBA-Jild-30","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xrz/manifest"
"Iranian National Baha'i Archives","ark:/21198/zz002h5xsg","ark:/21198/zz002h5tmf","2","Completed","Work","","","","individuals","","","text","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw44w8","Issue 31","INBA-Jild-31","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h5xsg/manifest"
