Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.creator,Name.subject,Name.contributor,Rights.servicesContact,Language,Type.genre,Subject,Rights.notice,Name.repository,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.creation,Date.normalized,Description.caption,Description.note,Description.abstract,Date.publication,IIIF Manifest URL
Faderman (Lillian) Collection,ark:/21198/zz0017kmd4,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmfn,text,copyrighted,Y,unpublished,United States,,"Faderman, Lillian",,,,,eng,letters (correspondence),Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,,,Letter Requesting Consideration of Paper at MLA Conference,"March 14, 1977",1977-03-14,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmd4/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kmhp,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kmj6,text,copyrighted,N,unpublished,United States,,"Martin, Robert K.",,"Faderman, Lillian",,,eng,letters (correspondence),Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Letter of Acceptance of Paper for MLA Conference,"March 29, 1977",1977-03-29,,Rights.statementLocal: Need to obtain permission to publish from original author.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmhp/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kmqs,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017knwv,text,copyrighted,Y,unpublished,United States,,"Faderman, Lillian",,,,,eng,letters (correspondence),Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,,,Letter Outlining Abstract for Love Between Women in 1928,"December 3, 1980",1980-12-03,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kmqs/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017knzw,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kp0w,text,copyrighted,unknown,unpublished,Los Angeles (Calif.),,,"Gay Academic Union, Inc.","Faderman, Lillian",,,eng,,Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Surpassing the Love of Men Talk - Gay Academic Union - Flyer,"October 4, 1981",1981-10-04,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017knzw/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kp1d,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kp2x,text,copyrighted,unknown,published,Los Angeles (Calif.),,,A Different Light Bookstore,"Faderman, Lillian",,,eng,,Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Surpassing the Love of Men Talk - A Different Light Bookstore - Newsletter,"November 22, 1981",1981-11-22,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kp1d/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kp60,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpkp,text,copyrighted,unknown,published,Los Angeles (Calif.),,,Plum's Books,"Faderman, Lillian",,,eng,,"Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Romantic Friendship",,June L. Mazer Lesbian Archives,individuals,,private,,Scotch Verdict Talk - Plum's Books - Flyer,"November 12, 1981",1981-11-12,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kp60/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kpm6,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpnq,text,copyrighted,unknown,published,Los Angeles (Calif.),,,"University of California, Los Angeles","Faderman, Lillian",,,eng,,"Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians--Legal status, laws, etc.|~|Romantic Friendship",,June L. Mazer Lesbian Archives,individuals,,private,,Scotch Verdict Talk - UCLA - Flyer,"November 17, 1981",1981-11-17,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kpm6/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kpp7,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpqr,text,copyrighted,unknown,published,Los Angeles (Calif.),,,Sisterhood Bookstore,"Faderman, Lillian",,,eng,,Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Surpassing the Love of Men Reading - Sisterhood Bookstore - Flyer,"November 22, 1981",1981-11-22,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kpp7/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kpt9,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpvt,text,copyrighted,unknown,published,Philadelphia (Pa.),,,Giovanni's Room,"Faderman, Lillian",,,eng,,Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Surpassing the Love of Men Reading - Giovanni's Room - Flyer,"December 27, 1981",1981-12-27,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kpt9/manifest
Faderman (Lillian) Collection,ark:/21198/zz0017kpwb,ark:/21198/zz000s2z7w,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpxv,text,copyrighted,unknown,published,Los Angeles (Calif.),,,A Different Light Bookstore,"Faderman, Lillian",,,eng,,Correspondence and Information - Speaking Engagements|~|Lesbians--History|~|Lesbians in literature--History|~|Romantic Friendship,,June L. Mazer Lesbian Archives,individuals,,private,,Surpassing the Love of Men Talk - A Different Light Bookstore - Newsletter,"December, 1981",1981-12,,Rights.statementLocal: Potential copyright issue with the reproduction of flyers. Permission unknown.,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kpwb/manifest
