Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Language,Name.subject,Name.creator,Title,Format.extent,Alt ID.local,Date.creation,Description.note,Format.dimensions,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Nin (Anais) Papers. Collection 2066,ark:/21198/zz001nx6px,,1,In progress,Collection,,,,,,,,,private,,,,"Nin, Anaïs, 1903-1977","Nin (Anais) Papers, circa 1910-1977",,Nin (Anais) Papers. Collection 2066,c. 1910-1977,"The collection consists of diaries, correspondence, manuscripts, cassette and reel-to-reel tapes of lectures and speeches, film appearances, printed items and memorabilia related to diarist and writer Anaïs Nin. Many of the diaries include letters, photographs, theatre programs, clippings, ephemera and memorabilia tipped and laid in. Some of the correspondents include Hugh Guiler, Rupert Pole, Lawrence Durrell, Henry Miller, Gore Vidal, James Leo Herlihy, Felix Pollak and Alan Swallow.",,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233499,https://oac.cdlib.org/findaid/ark:/13030/kt3489p4x9/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001nx6px
Nin (Anais) Papers. Collection 2066,ark:/21198/zz00256728,ark:/21198/zz001nx6px,2,Completed,Work,ninan/image/21198-zz00256728_1659676_master.tif,,,,,still image,,,private,,,"Nin, Joaquín, 1879-1949",,"Nin, Joaquin. 1914 [photograph]",1 b & w photograph,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256728,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256728/manifest
