Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Thumbnail,File Name,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Language,Name.subject,Name.creator,Title,Format.extent,Alt ID.local,Date.creation,Description.note,Format.dimensions,IIIF Manifest URL
Nin (Anais) Papers. Collection 2066,ark:/21198/zz0025673s,ark:/21198/zz001nx6px,2,Completed,Work,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256749,,,,,photographs|~|diaries,still image|~|text,paged,,private,,fre,,"Nin, Anaïs, 1903-1977","Diary 1, 1914 July 25-1915 May 19.",1 v. (176 leaves),"Box 2, Folder 1","July 25, 1914 - May 19, 1915","Holograph. In dark blue/black/grey/silver marbled boards with dark blue half leather binding. With photographs, notes, drawings and ephemera laid in the diary.",17.5 × 21 cm.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025673s/manifest
Nin (Anais) Papers. Collection 2066,ark:/21198/zz0025675t,ark:/21198/zz001nx6px,2,Completed,Work,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025676b,,,,,diaries,text,paged,,private,,eng,,"Nin, Anaïs, 1903-1977","Diary 62. Kenilworth & Death of the Mother. Mon Journal, 1939 October-1940 November.",1 v. (654 p.),"Box 20, folder 5",October 1939-November 1940,"Holograph. Bound in red cloth. pp.1-[654].  Letters in envelopes are tipped in following unnumbered pages.Photos of Caresse Crosby, Henry Miller, Salvador Dali, the Earl of Kenilworth, AN with Mr. & Mrs. Ruttner, Jimmy Sternes. “Diacritical & historical materialism,” pp.1-21. With letters from Henry Miller, John, the Earl of Kenilworth, Hugo, postcards, pocket calendar, clippings. With programs forperformances for the Katherine Dunham Dance Group and Joaquin Nin-Culmell. Catalog card for Winter of Artifice tipped in verso of front cover.",14 × 22.5 cm.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025675t/manifest
Nin (Anais) Papers. Collection 2066,ark:/21198/zz00256bz5,ark:/21198/zz001nx6px,2,Completed,Work,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8953,,,,,photographs,still image,paged,,private,,,"Nin, Anaïs, 1903-1977",,"Nin, Anais [photograph]",1 b & w photograph,"Box 17, folder 3",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00256bz5/manifest
