Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Name.subject,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.distributor,Name.producer,Author,Name.actor,Coverage.geographic,Name.director,Name.screenwriter,Subject,Name.costumeDesigner,Subject.descriptiveTopic,Name.singer,Rights.servicesContact,Name.photographer,Language,Name.repository,Name.lyricist,Name.composer,Name.architect,Name.filmEditor,Name.artist,Name.creator,Name.musicalDirector,Name.choreographer,Name.soundDesigner,Name.cinematographer,Name.musician,Description.note,Title,AltTitle.other,Alt ID.local,Description.fundingNote,Format.extent,Format.medium,Relation.isPartOf,Date.creation,Date.normalized,Summary,Format.dimensions,Description.longitude,Description.latitude,Publisher.publisherName,Publisher.placeOfOrigin,AltTitle.descriptive,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0fq,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0845i.tif,,,,private,still image,,Black-and-white photographs|~|film stills|~|Portrait photographs|~|Drama films|~|Legal films,copyrighted,unknown,Columbia Pictures,"Columbia Pictures|~|Chodorov, Edward, $d 1904-1988",,"Bryant, Nana, $d 1888-1955",Los Angeles (Calif.),"Lachman, Harry, $d 1886-1975",,,,Art exhibitions $z California $z Los Angeles|~|Devil is driving (Motion picture : 1937),,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,"Wilson, Anna",,,,,,,"The title of the painting is ""Nana Bryant in Costume,"" according to the Los Angeles Times article, ""Art and Artists: Americans, Federals, Orientals Show Art,"" 14 Feb. 1937: C11.|~|The painting is signed at the top, ""Anna Wilson 1936."" A plaque attached to the bottom of the frame reads, ""third award.""","Nana Bryant, actress, and Anna Wilson, artist, posing next to Wilson's portrait of Bryant, Los Angeles, 1937",,uclamss_2213_0845i,Access to this collection is generously supported by Arcadia funds.,1 photographic print,b&w photograph,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.",[February 1937],1937-02,"On back of photo: [Press tag:] NANA BRYANT, COLUMBIA STUDIOS CHARACTER ACTRESS, poses beside the portrait of herself which captured third prize at the annual exhibit of the Academy of Western Painters, now on display at the Los Angeles Museum of Art. Anna Wilson, the artist, is seen to the right. The portrait represents a character Miss Bryant plays in “The Devil is Driving” with Richard Dix and Joan Perry. [Stamp:] Irv…|~|Text from negative enclosure: The Devil is Driving (1937). [Incorrect negative numbers ""0847-0849i"" on enclosure.]",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0fq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0fq/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0g7,ark:/21198/zz002jb7f9,1,In progress,Work,columbia/image/uclamss_2213_0846i.tif,,,,private,still image,,Black-and-white photographs|~|Drama films|~|Legal films,copyrighted,unknown,Columbia Pictures,"Columbia Pictures|~|Chodorov, Edward, $d 1904-1988",,"Bryant, Nana, $d 1888-1955",Los Angeles (Calif.),"Lachman, Harry, $d 1886-1975",,,,Art exhibitions $z California $z Los Angeles|~|Devil is driving (Motion picture : 1937),,,,eng,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,,"Nana Bryant, actress, and Anna Wilson, artist, posing next to Wilson's portrait of Bryant, Los Angeles, verso of print, 1937",,uclamss_2213_0846i,Access to this collection is generously supported by Arcadia funds.,1 photographic print,,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.|~|ark:/21198/zz002jg0fq  (front of photo)",[February 1937],1937-02,"Text from negative enclosure: The Devil is Driving (1937). [Incorrect negative numbers ""0847-0849i"" on enclosure.]|~|[Press tag:] NANA BRYANT, COLUMBIA STUDIOS CHARACTER ACTRESS, poses beside the portrait of herself which captured third prize at the annual exhibit of the Academy of Western Painters, now on display at the Los Angeles Museum of Art. Anna Wilson, the artist, is seen to the right. The portrait represents a character Miss Bryant plays in “The Devil is Driving” with Richard Dix and Joan Perry.",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0g7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0g7/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0hr,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0847.tif,,,,private,still image,"Wolf, Ed",Black-and-white photographs|~|film stills|~|Portrait photographs|~|Drama films|~|cellulose nitrate film,copyrighted,unknown,Columbia Pictures,Major Pictures Corp.,,"Fellows, Edith, $d 1923-2011",,"McLeod, Norman Z., $d 1898-1964",,,,Pennies from heaven (Motion picture : 1936),,,"Thomas, Bill",,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,,"Edith Fellows, actress, looking up at Ed Wolf, carnival performer, as publicity for Pennies from Heaven, 1936",,uclamss_2213_0847,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.",[1936],1936,"On back of a photo of this image: [Press tag:] EDITH FELLOWS, 13-year-old Columbia player featured with Bing Crosby in “Pennies from Heaven” finds that a tiny girl must really look up to the Tall Man of a carnival troupe. Edith, on location for the picture, had a childish thrill in getting acquainted with all the human oddities such as eight-foot Ed Wolf. [Handwritten:] Syn. [Photographer stamp:] Please credit… [Bill Thomas] for Columbia Pictures.|~|Handwritten on negative: BT-1.|~|Text from negative enclosure: Pennies from Heaven (1936). [Incorrect negative numbers ""0844-0846i"" on enclosure.]",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0hr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0hr/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0j8,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0848i.tif,,,,private,still image,"Wolf, Ed",Black-and-white photographs|~|film stills|~|Portrait photographs|~|Drama films,copyrighted,unknown,Columbia Pictures,Major Pictures Corp.,,"Fellows, Edith, $d 1923-2011",,"McLeod, Norman Z., $d 1898-1964",,,,Pennies from heaven (Motion picture : 1936),,,"Thomas, Bill",,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,,"Edith Fellows, actress, looking up at Ed Wolf, carnival performer, as publicity for Pennies from Heaven, 1936",,uclamss_2213_0848i,Access to this collection is generously supported by Arcadia funds.,1 photographic print,,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.|~|ark:/21198/zz002jg0ks (Back of photo)",[1936],1936,"On back of  photo: [Press tag:] EDITH FELLOWS, 13-year-old Columbia player featured with Bing Crosby in “Pennies from Heaven” finds that a tiny girl must really look up to the Tall Man of a carnival troupe. Edith, on location for the picture, had a childish thrill in getting acquainted with all the human oddities such as eight-foot Ed Wolf. [Handwritten:] Syn. [Photographer stamp:] Please credit… [Bill Thomas] for Columbia Pictures. [Image ark no. 21198/zz002jg0ks]|~|Text from negative enclosure: Pennies from Heaven (1936). [Incorrect negative numbers ""0844-0846i"" on enclosure.]",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0j8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0j8/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0ks,ark:/21198/zz002jb7f9,1,In progress,Work,columbia/image/uclamss_2213_0849i.tif,,,,private,still image,"Wolf, Ed",Black-and-white photographs|~|Drama films,copyrighted,unknown,Columbia Pictures,Major Pictures Corp.,,"Fellows, Edith, $d 1923-2011",,"McLeod, Norman Z., $d 1898-1964",,,,Pennies from heaven (Motion picture : 1936),,,"Thomas, Bill",eng,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,,"back of 21198/zz002jg0j8 - Edith Fellows, actress, looking up at Ed Wolf, carnival performer, as publicity for Pennies from Heaven, verso of print, 1936",,uclamss_2213_0849i,Access to this collection is generously supported by Arcadia funds.,1 photographic print,,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.",[1936],1936,"]Press tag:] EDITH FELLOWS, 13-year-old Columbia player featured with Bing Crosby in “Pennies from Heaven” finds that a tiny girl must really look up to the Tall Man of a carnival troupe. Edith, on location for the picture, had a childish thrill in getting acquainted with all the human oddities such as eight-foot Ed Wolf. [Handwritten:] Syn. [Photographer stamp:] Please credit… [Bill Thomas] for Columbia Pictures.|~|Text from negative enclosure: Pennies from Heaven (1936). [Incorrect negative numbers ""0844-0846i"" on enclosure.]",,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0ks,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0ks/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0m9,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0850.tif,,,,private,still image,,Black-and-white photographs|~|film stills|~|Musical films|~|cellulose nitrate film,copyrighted,unknown,Columbia Pictures,Columbia Pictures,,,,"Schertzinger, Victor",,,,Academy Awards (Motion pictures)|~|One night of love (Motion picture),,,,eng,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,"The seventh Academy Awards were held in the Biltmore Bowl of the Biltmore Hotel on February 27, 1935.|~|Columbia Pictures received an Honorable Mention for their ""application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture 'One Night of Love.'""","Academy Award report for the awards for scientific or technical achievement, 1935",,uclamss_2213_0850,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.",[1935],1935,Text from negative enclosure: Academy Awards.,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0m9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0m9/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0nt,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0851.tif,,,,private,still image,,Black-and-white photographs|~|film stills|~|cellulose nitrate film,copyrighted,unknown,,,,,,,,,,Academy Awards (Motion pictures),,,,eng,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,The date of this image is based on other images related to the Academy Awards in this collection.,"Blank Academy Awards certificate of merit, circa 1935-1938",,uclamss_2213_0851,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.",[circa 1935-1938],1935/1938,Text from negative enclosure: Academy Awards.,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0nt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0nt/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0pb,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0852.tif,,,,private,still image,"Biltmore Hotel (Los Angeles, Calif.)",Black-and-white photographs|~|film stills|~|Portrait photographs|~|cellulose nitrate film,copyrighted,unknown,,"Thalberg, Irving, $d 1899-1936",,"Davis, Bette, $d 1908-1989|~|McLaglen, Victor $d 1886-1959",Los Angeles (Calif.),"Capra, Frank, $d 1897-1991",,,,Academy Awards (Motion pictures),,,"Schafer, A. L. $q (Adolf L.), $d 1902-1951",,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,"The eighth Academy Awards were held in the Biltmore Bowl of the Biltmore Hotel on March 5, 1936.","Irving Thalberg, producer, Bette Davis, actress, Frank Capra, director, and Victor McLaglen, actor, at the eighth Academy Awards, Los Angeles, 1936",,uclamss_2213_0852,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.","[March 5, 1936]",1936-03-05,Text from negative enclosure: Academy Awards.|~|On back of photo: [Photographer stamp:] Please credit A. L. Schafer. Columbia Pictures.,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0pb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0pb/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0qv,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0853.tif,,,,private,still image,"Biltmore Hotel (Los Angeles, Calif.)",Black-and-white photographs|~|film stills|~|Portrait photographs|~|cellulose nitrate film,copyrighted,unknown,,"Thalberg, Irving, $d 1899-1936",,"Davis, Bette, $d 1908-1989|~|McLaglen, Victor $d 1886-1959",Los Angeles (Calif.),"Capra, Frank, $d 1897-1991",,,,Academy Awards (Motion pictures),,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,"The eighth Academy Awards were held in the Biltmore Bowl of the Biltmore Hotel on March 5, 1936.","Bette Davis, actress, Frank Capra, director, Victor McLaglen, actor, and Irving Thalberg, producer, speaking to another man in the background, at the eighth Academy Awards, Los Angeles, 1936",,uclamss_2213_0853,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.","[March 5, 1936]",1936-03-05,Text from negative enclosure: Academy Awards.,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0qv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0qv/manifest
Columbia Pictures Stills and Key books,ark:/21198/zz002jg0rc,ark:/21198/zz002jb7f9,2,Completed,Work,columbia/image/uclamss_2213_0854.tif,,,,private,still image,"Biltmore Hotel (Los Angeles, Calif.)",Black-and-white photographs|~|film stills|~|Portrait photographs|~|cellulose nitrate film,copyrighted,unknown,,"Thalberg, Irving, $d 1899-1936",,,Los Angeles (Calif.),"Capra, Frank, $d 1897-1991",,,,Academy Awards (Motion pictures),,,"Schafer, A. L. $q (Adolf L.), $d 1902-1951",,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,,,,,,,"The eighth Academy Awards were held in the Biltmore Bowl of the Biltmore Hotel on March 5, 1936.","Irving Thalberg, producer, and Frank Capra, director, at the eighth Academy Awards, Los Angeles, 1936",,uclamss_2213_0854,Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Columbia Pictures Stills and Key books. Department of Special Collections, Charles E. Young Research Library, UCLA.","[March 5, 1936]",1936-03-05,On back of photo: [Photographer stamp:] Please credit A. L. Schafer. Columbia Pictures.|~|Text from negative enclosure: Academy Awards.,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7484647,https://oac.cdlib.org/findaid/ark:/13030/c8w381zm/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jg0rc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jg0rc/manifest
