Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,viewingHint,Text direction,IIIF Range,Type.typeOfResource,Language,Name.subject,Name.creator,Format.dimensions,Description.note,Date.creation,Format.extent,Title,Alt ID.local,Opac url,Finding Aid URL,Thumbnail,IIIF Manifest URL
"Lawrence (D.H. and Freida), Collection of Material About. Collection 0654",ark:/21198/zz0019qb37,,1,In progress,Collection,,,,private,,,,,,,"Lawrence, D. H. (David Herbert), 1885-1930.|~|Lawrence, Frieda von Richthofen, 1879-1956",,,,,,"Lawrence (D. H. and Freida), Collection of Material About, circa 1910-1930",Collection 654,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232803,https://oac.cdlib.org/findaid/ark:/13030/kt758006v4/,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0019qb37
"Lawrence (D.H. and Freida), Collection of Material About. Collection 0654",ark:/21198/zz0019qmh9,ark:/21198/zz0019qb37,1,In progress,Work,,,,private,,paged,,,text,eng,,"Lawrence, D. H. (David Herbert), 1885-1930.",24 cm,"1 volume including 2 photos pasted on front cover, 2 photos pasted on flyleaf, and manuscript drafts of reviews of books by Carl Van Vechten, Walter White, John Dos Passos and Ernest Hemingway",c. 1920,1 volume,Five original photographs... [and] holograph manuscripts of four reviews....,"Box 1, folder 7",,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmmv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmh9/manifest
