"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.servicesContact","Relation.isPartOf","Name.repository","Subject","Format.dimensions","Title","Description.note","Alt ID.local","Date.creation","AltTitle.descriptive","Date.normalized","AltTitle.other","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Calif. Ephemera Collection.  Collection 201","ark:/21198/z1md0hmw","ark:/21198/zz000s3s9z","2","Completed","Page","californiaephemera/masters/21198-zz000s3s9z-1-master.tif","1","","","","","private","","still image","","","","","","","front","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0hmw",""
"Calif. Ephemera Collection.  Collection 202","ark:/21198/z1gm9rwm","ark:/21198/zz000s3s9z","2","Completed","Page","californiaephemera/masters/21198-zz000s3s9z-2-master.tif","2","","","","","private","","still image","","","","","","","back","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gm9rwm",""
