"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","viewingHint","Text direction","Visibility","IIIF Range","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Name.repository","Title","Format.extent","Date.normalized","Date.creation","Description.note","AltTitle.uniform","OPAC URL","Description.abstract","AltTitle.other","Place of origin","Publisher.publisherName","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Protesta Humana, La, Collection","ark:/21198/zz0025hxzd","ark:/21198/zz0025hxj6","2","Completed","Page","lapro/image/21198-zz0025hxzd_1696100_master.tif","1","","","","pd","","","","","published","","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025hxzd",""
"Protesta Humana, La, Collection","ark:/21198/zz0025hz0d","ark:/21198/zz0025hxj6","2","Completed","Page","lapro/image/21198-zz0025hz0d_1696103_master.tif","2","","","","pd","","","","","published","","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025hz0d",""
"Protesta Humana, La, Collection","ark:/21198/zz0025hz1x","ark:/21198/zz0025hxj6","2","Completed","Page","lapro/image/21198-zz0025hz1x_1696106_master.tif","3","","","","pd","","","","","published","","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025hz1x",""
"Protesta Humana, La, Collection","ark:/21198/zz0025hz2f","ark:/21198/zz0025hxj6","2","Completed","Page","lapro/image/21198-zz0025hz2f_1696109_master.tif","4","","","","pd","","","","","published","","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025hz2f",""
