"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmr98","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmr98_1296506_master.tif","1","","","","","","","text","","","","","","","","page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmr98",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrc9","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrc9_1296510_master.tif","2","","","","","","","text","","","","","","","","page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrc9",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrdt","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrdt_1296515_master.tif","3","","","","","","","text","","","","","","","","page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrdt",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrgv","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrgv_1296519_master.tif","4","","","","","","","text","","","","","","","","page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrgv",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrhc","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrhc_1296524_master.tif","5","","","","","","","text","","","","","","","","page 5","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrhc",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrjw","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrjw_1296527_master.tif","6","","","","","","","text","","","","","","","","page 6","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrjw",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrnf","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrnf_1296531_master.tif","7","","","","","","","text","","","","","","","","page 7","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrnf",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrpz","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrpz_1296536_master.tif","8","","","","","","","text","","","","","","","","page 8","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrpz",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrqg","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrqg_1296539_master.tif","9","","","","","","","text","","","","","","","","page 9","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrqg",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrsh","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrsh_1296545_master.tif","10","","","","","","","text","","","","","","","","page 10","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrsh",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrvj","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrvj_1296549_master.tif","11","","","","","","","text","","","","","","","","page 11","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrvj",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrw2","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrw2_1296554_master.tif","12","","","","","","","text","","","","","","","","page 12","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrw2",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrxk","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrxk_1296557_master.tif","13","","","","","","","text","","","","","","","","page 13","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrxk",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmrz3","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hmrz3_1296560_master.tif","14","","","","","","","text","","","","","","","","page 14","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmrz3",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hms03","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hms03_1296563_master.tif","15","","","","","","","text","","","","","","","","page 15","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms03",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hms1m","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hms1m_1296566_master.tif","16","","","","","","","text","","","","","","","","page 16","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms1m",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hms24","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hms24_1296569_master.tif","17","","","","","","","text","","","","","","","","page 17","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms24",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hms3n","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hms3n_1296572_master.tif","18","","","","","","","text","","","","","","","","page 18","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms3n",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hms45","ark:/21198/zz001hmr8r","2","Completed","Page","tulancingo/masters/21198-zz001hms45_1296575_master.tif","19","","","","","","","text","","","","","","","","page 19","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hms45",""
