"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt0k","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt0k_1296641_master.tif","16","","","","","","","text","","","","","","","","page 16","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt0k",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt13","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt13_1296644_master.tif","17","","","","","","","text","","","","","","","","page 17","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt13",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt2m","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt2m_1296647_master.tif","18","","","","","","","text","","","","","","","","page 18","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt2m",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt34","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt34_1296650_master.tif","19","","","","","","","text","","","","","","","","page 19","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt34",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt4n","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt4n_1296653_master.tif","20","","","","","","","text","","","","","","","","page 20","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt4n",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt55","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt55_1296656_master.tif","21","","","","","","","text","","","","","","","","page 21","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt55",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt6p","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt6p_1296665_master.tif","22","","","","","","","text","","","","","","","","page 22","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt6p",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt76","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt76_1296669_master.tif","23","","","","","","","text","","","","","","","","page 23","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt76",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt8q","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt8q_1296674_master.tif","24","","","","","","","text","","","","","","","","page 24","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt8q",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmt97","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmt97_1296678_master.tif","25","","","","","","","text","","","","","","","","page 25","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmt97",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtbr","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtbr_1296683_master.tif","26","","","","","","","text","","","","","","","","page 26","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtbr",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtc8","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtc8_1296689_master.tif","27","","","","","","","text","","","","","","","","page 27","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtc8",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz001hmtds","ark:/21198/zz001hmsft","2","Completed","Page","tulancingo/masters/21198-zz001hmtds_1296693_master.tif","28","","","","","","","text","","","","","","","","page 28","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hmtds",""
