"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Language","Name.creator","Subject","Type.genre","Name.repository","Relation.isPartOf","Coverage.geographic","Title","Date.creation","Date.normalized","Description.abstract","Alt ID.local","Format.extent","Format.dimensions","AltTitle.descriptive","Opac url","AltTitle.other","Finding Aid URL","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh09","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh09_2007641_master.tif","1","","","","","private","","","","","","","","","","Page 1","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh09",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh1t","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh1t_2007644_master.tif","2","","","","","private","","","","","","","","","","Page 2","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh1t",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh2b","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh2b_2007647_master.tif","3","","","","","private","","","","","","","","","","Page 3","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh2b",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh3v","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh3v_2007650_master.tif","4","","","","","private","","","","","","","","","","Page 4","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh3v",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh4c","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh4c_2007653_master.tif","5","","","","","private","","","","","","","","","","Page 5","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh4c",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh5w","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh5w_2007656_master.tif","6","","","","","private","","","","","","","","","","Page 6","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh5w",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh6d","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh6d_2007659_master.tif","7","","","","","private","","","","","","","","","","Page 7","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh6d",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh7x","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh7x_2007662_master.tif","8","","","","","private","","","","","","","","","","Page 8","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh7x",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh8f","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh8f_2007665_master.tif","9","","","","","private","","","","","","","","","","Page 9","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh8f",""
"Tulancingo (Hidalgo, Mexico) Manuscript Collection. Collection 2073","ark:/21198/zz002bfh9z","ark:/21198/zz002bfgz9","1","In progress","Page","tulancingo/masters/21198-zz002bfh9z_2007668_master.tif","10","","","","","private","","","","","","","","","","Page 10","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bfh9z",""
