"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Alternate Identifier.local","Title","Description.tableOfContents","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Author","Name.translator","Name.commentator","Name.scribe","Name.compiler","Language","Language.script","Name.calligrapher","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","Metadata Only","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000sq36t","ark:/21198/zz000wrmkf","7","Completed","Work","","38","37","Majmūʿah","Title: Sharḥ al-Tajrīd; Pp. 16-255.  A commentary on Ṭusī's Tajrīd al-Iʿtiqād, on philosophical issues concerning the subject of metaphysics (especially atoms and accidents). Missing beginning folios and includes notes in the margins.  DP uncertain about authorship.<br>Title: Risālah fī al-nujūm; Pp. 257-274.  Treatise on the movement of the stars. Missing beginning and end folios, includes notes in the margins and nine astronomical figures. Author is unknown.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","ara","unidentified","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 6, 37","n.d.","25 x 14.5 cm.","","","","","","","","This volume contains several minor Persian pieces (correspondence and poetry) in pp. 2-14, listed in DP 660.  None are really ""works,"" although there is a concrete date in one of them (1056 [1646]).  The individual works we have separately logged are nn. 5 and 6 in DP.","","","","","","","","","","No","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000ss4b8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sq36t/manifest"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000st6vf","ark:/21198/zz000wrmkf","7","Completed","Work","","59","58","Majmūʿah","Title: Lawāmiʿ al-ḥikam fī taḥqīq al-ḥudūth wa-al-qadam; Pp. 2-146.  An autograph of the author. A philosophical treatise on eternity and the creation of the world.<br>Title: al-Yad al-bayḍāʾ; Pp. 147-205.  A commentary on Shahīd al-Thānī's work Maʿālim al-dīn. On fiqh and the qualifications of muqallids.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","","","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 11, 58","n.d.","19 x 11 cm.","","","7216","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 661.","مجموعة","","","","","","","","","","","","","No","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000t29nb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000st6vf/manifest"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000st721","ark:/21198/zz000wrmkf","7","Completed","Work","","63","62","Majmūʿah","Title: Kubrā; Pp. 2-107.  On logic and philosophy.<br>Title: Tahdhīb al-manṭiq wa-al-kalām; Pp. 107-141.  On logic and philosophy. Fragment.<br>Title: al-Kāfiyah; On Arabic language and grammar. The end folios are missing.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","","","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 12, 62","n.d.","11 x 7","","","","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 661.","مجموعة","","","Author is unknown.","","","","","","","","","","No","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00144vh0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000st721/manifest"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000stc82","ark:/21198/zz000wrmkf","7","Completed","Work","","114","113","Majmūʿah","Title: Risālah fī al-ḥikmah; On a variety of subjects concerning philosophy and science. Missing end folios. Author is unknown.<br>Title: Risālah fī al-ḥikmah; On the nature and the perception of the soul. Author is unknown.<br>Title: Tahdīb al-manṭiq wa-al-kalām; A fragment from Taftazānī's Tahdīb al-Manṭiq wa-al-Kalām. Missing end folios.<br>Title: Risālah fī al-ṭabīʿiyāt; On natural philosophy, humors, and specific elements.<br>Title: Arbaʿūn ḥadīthan; A commentary on the forty ḥadīth of the Prophet Muḥammad.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","","","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 19, 113","n.d.","15 x 10","","","","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 665.","مجموعة","","","","","","","","","","","","","No","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000t3fj5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000stc82/manifest"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000std8j","ark:/21198/zz000wrmkf","7","Completed","Work","","122","121","Majmūʿah","Title: al-Durrah al-fākhirah; A theological treatise on God's attributes and His unity.<br>Title: Risālah fī itiḥād al-ʿaql wa-al-maʿqūl; A philosophical treatise on the unity between the intellect and its object.<br>Title: Is̱bāt-i ḥarakat-i javāhirī; A philosophical treatise on the nature of essential motion.<br>Title: Hayākil al-nūr; A philosophical treatise on self knowledge and some mystical aspects concerning the universe. Author is unknown.<br>Title: Risālah fī al-kufr wa-al-īmān; A theological treatise concerning faith and blasphemy in Islamic law.<br>Title: Risālah fī al-juzʾ alladhī lā-yatajazá; A philosophical treatise on natural philosophy concerning indivisible matter.","paged","right-to-left","","","pd","","Manuscripts","University of California, Los Angeles. $b Library Special Collections","","","","","","","","","","Caro Minasian Collection of Persian and Arabic Manuscripts, box 20, 121","n.d.","","","","7216","Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 666.","مجموعة","","","","","","","","","","","","","No","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000t3xng","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000std8j/manifest"
