"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.creator","Name.subject","Name.contributor","Rights.servicesContact","Language","Type.genre","Subject","Rights.notice","Name.repository","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.creation","Date.normalized","Description.caption","Description.note","Description.abstract","Date.publication","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Faderman (Lillian) Collection","ark:/21198/zz0017sg4r","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg4r_725320_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg4r",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sg58","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg58_725325_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg58",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sg6s","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg6s_725328_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg6s",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sg79","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg79_725334_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg79",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sg8t","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg8t_725337_master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg8t",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sg9b","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sg9b_725342_master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sg9b",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sgbv","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sgbv_725345_master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sgbv",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sgcc","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sgcc_725350_master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sgcc",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sgdw","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sgdw_725355_master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sgdw",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sgfd","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sgfd_725359_master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sgfd",""
"Faderman (Lillian) Collection","ark:/21198/zz0017sggx","ark:/21198/zz0017sg37","2","Completed","Page","faderman/images/masters/21198-zz0017sggx_725363_master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sggx",""
