"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz00090f7z","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090f7z-1-master.tif","1","","","text","","","","","","front cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090f7z",""
"Picart (Bernard) Collection","ark:/21198/zz00090f8g","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090f8g-1-master.tif","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090f8g",""
"Picart (Bernard) Collection","ark:/21198/zz00090f90","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090f90-1-master.tif","3","","","text","","","","","","blank page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090f90",""
"Picart (Bernard) Collection","ark:/21198/zz00090fbh","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fbh-1-master.tif","4","","","text","","","","","","blank page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fbh",""
"Picart (Bernard) Collection","ark:/21198/zz00090fc1","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fc1-1-master.tif","5","","","text","","","","","","blank page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fc1",""
"Picart (Bernard) Collection","ark:/21198/zz00090fdj","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fdj-1-master.tif","6","","","text","","","","","","blank page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fdj",""
"Picart (Bernard) Collection","ark:/21198/zz00090ff2","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090ff2-1-master.tif","7","","","text","","","","","","half title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090ff2",""
"Picart (Bernard) Collection","ark:/21198/zz00090fgk","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fgk-1-master.tif","8","","","text","","","","","","half title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fgk",""
"Picart (Bernard) Collection","ark:/21198/zz00090fh3","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fh3-1-master.tif","9","","","text|~|still image","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fh3",""
"Picart (Bernard) Collection","ark:/21198/zz00090fjm","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fjm-1-master.tif","10","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fjm",""
"Picart (Bernard) Collection","ark:/21198/zz00090fk4","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fk4-1-master.tif","11","","","text|~|still image","","","","","","preface i","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fk4",""
"Picart (Bernard) Collection","ark:/21198/zz00090fmn","ark:/21198/zz0002hb4s","2","Completed","Page","picart/masters/21198-zz00090fmn-1-master.tif","12","","","text","","","","","","preface ii","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090fmn",""
