"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jrns","ark:/21198/zz001gqgw4","1","In progress","Page","mcafee/masters/21198-zz0025jrns_1699192_master.tif","1","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrns",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jrp9","ark:/21198/zz001gqgw4","1","In progress","Page","mcafee/masters/21198-zz0025jrp9_1699195_master.tif","2","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrp9",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gqgw4/6586gt05","ark:/21198/zz001gqgw4","","","Page","mcafee/masters/21198-zz001gqgw4_1272711_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqgw4%2F6586gt05",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gqgw4/gz25hz8m","ark:/21198/zz001gqgw4","","","Page","mcafee/masters/21198-zz001gqgw4_1272714_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqgw4%2Fgz25hz8m",""
