"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jrxx","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025jrxx_1699210_master.tif","1","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrxx",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jrzf","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025jrzf_1699213_master.tif","2","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrzf",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js0f","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js0f_1699216_master.tif","3","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js0f",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js1z","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js1z_1699219_master.tif","4","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js1z",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js2g","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js2g_1699222_master.tif","5","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js2g",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js30","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js30_1699225_master.tif","6","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js30",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js4h","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js4h_1699228_master.tif","7","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js4h",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js51","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js51_1699231_master.tif","8","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js51",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js6j","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js6j_1699234_master.tif","9","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js6j",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025js72","ark:/21198/zz001h8z43","1","In progress","Page","mcafee/masters/21198-zz0025js72_1699237_master.tif","10","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js72",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/3b42r747","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273783_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2F3b42r747",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/j843pt6j","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273798_master.tif","7","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fj843pt6j",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/kb81xc6n","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273789_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fkb81xc6n",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/m040x314","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273804_master.tif","9","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fm040x314",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/n553xq9z","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273807_master.tif","10","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fn553xq9z",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/n929qs23","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273786_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fn929qs23",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/s192854f","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273792_master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Fs192854f",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8z43/td22tj4j","ark:/21198/zz001h8z43","","","Page","mcafee/masters/21198-zz001h8z43_1273801_master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8z43%2Ftd22tj4j",""
