"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqbn","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqbn_1699075_master.tif","1","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqbn",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqc5","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqc5_1699078_master.tif","2","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqc5",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqdp","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqdp_1699087_master.tif","3","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqdp",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqf6","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqf6_1699090_master.tif","4","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqf6",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqgq","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqgq_1699093_master.tif","5","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqgq",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jqh7","ark:/21198/zz001gpx6m","1","In progress","Page","mcafee/masters/21198-zz0025jqh7_1699096_master.tif","6","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jqh7",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/7s318k2v","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271664_master.tif","6","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2F7s318k2v",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/cs238j2g","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271657_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Fcs238j2g",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/dk168x7j","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271651_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Fdk168x7j",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/f595107x","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271660_master.tif","5","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Ff595107x",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/nn660k7c","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271654_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Fnn660k7c",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gpx6m/rd370j1g","ark:/21198/zz001gpx6m","","","Page","mcafee/masters/21198-zz001gpx6m_1271648_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gpx6m%2Frd370j1g",""
