"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95q7","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95q7_1274563_master.tif","1","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95q7",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95rr","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95rr_1274569_master.tif","2","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95rr",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95s8","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95s8_1274578_master.tif","3","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95s8",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95ts","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95ts_1274584_master.tif","4","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95ts",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95v9","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95v9_1274589_master.tif","5","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95v9",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95wt","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95wt_1274593_master.tif","6","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95wt",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95xb","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95xb_1274599_master.tif","7","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95xb",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h95zv","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h95zv_1274604_master.tif","8","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h95zv",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h960v","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h960v_1274610_master.tif","9","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h960v",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h961c","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h961c_1274616_master.tif","10","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h961c",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h962w","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h962w_1274622_master.tif","11","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","r","","","","","","","","Page 11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h962w",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h963d","ark:/21198/zz001h95pq","2","Completed","Page","mcafee/masters/21198-zz001h963d_1274628_master.tif","12","","","","","","","","text","pd","","","","","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.","v","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h963d",""
