"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq764","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq764_2011923_master.tif","1","","","","","","","","","pd","","","","","","","","","","","","","","Page 1","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq764",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq77n","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq77n_2011926_master.tif","2","","","","","","","","","pd","","","","","","","","","","","","","","Page 2","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq77n",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq785","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq785_2011929_master.tif","3","","","","","","","","","pd","","","","","","","","","","","","","","Page 3","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq785",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq79p","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq79p_2011932_master.tif","4","","","","","","","","","pd","","","","","","","","","","","","","","Page 4","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq79p",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7b6","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7b6_2011935_master.tif","5","","","","","","","","","pd","","","","","","","","","","","","","","Page 5","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7b6",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7cq","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7cq_2011938_master.tif","6","","","","","","","","","pd","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7cq",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7d7","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7d7_2011941_master.tif","7","","","","","","","","","pd","","","","","","","","","","","","","","Page 7","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7d7",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7fr","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7fr_2011944_master.tif","8","","","","","","","","","pd","","","","","","","","","","","","","","Page 8","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7fr",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7g8","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7g8_2011947_master.tif","9","","","","","","","","","pd","","","","","","","","","","","","","","Page 9","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7g8",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz002bq7hs","ark:/21198/zz002bpt2t","1","In progress","Page","mcafee/masters/21198-zz002bq7hs_2011950_master.tif","10","","","","","","","","","pd","","","","","","","","","","","","","","Page 10","","4 leaves : paper ; 211 x 153 mm. Credit section of an accounting record, probably of a religious society dedicated to the rosary. Includes charitable donations, including gifts of livestock and money. Leaf count does not include cover sheet. Text in Spanish and Nahuatl.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bq7hs",""
