"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jtxw","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jtxw_1699589_master.tif","1","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jtxw",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jtzd","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jtzd_1699592_master.tif","2","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jtzd",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv0d","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv0d_1699595_master.tif","3","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv0d",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv1x","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv1x_1699598_master.tif","4","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv1x",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv2f","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv2f_1699601_master.tif","5","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv2f",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv3z","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv3z_1699604_master.tif","6","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv3z",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv4g","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv4g_1699607_master.tif","7","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv4g",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz0025jv50","ark:/21198/zz001h927j","1","In progress","Page","mcafee/masters/21198-zz0025jv50_1699610_master.tif","8","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jv50",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h927j/3594zw5g","ark:/21198/zz001h927j","","","Page","mcafee/masters/21198-zz001h927j_1274149_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h927j%2F3594zw5g",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h927j/c186pc4h","ark:/21198/zz001h927j","","","Page","mcafee/masters/21198-zz001h927j_1274164_master.tif","8","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h927j%2Fc186pc4h",""
