"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xkb","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xkb_1273657_master.tif","1","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xkb",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xmv","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xmv_1273660_master.tif","2","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xmv",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xnc","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xnc_1273663_master.tif","3","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xnc",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xpw","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xpw_1273666_master.tif","4","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xpw",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xqd","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xqd_1273669_master.tif","5","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xqd",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xrx","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xrx_1273672_master.tif","6","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xrx",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xsf","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xsf_1273675_master.tif","7","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xsf",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xtz","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xtz_1273678_master.tif","8","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xtz",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xvg","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xvg_1273681_master.tif","9","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xvg",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xw0","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xw0_1273684_master.tif","10","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xw0",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xxh","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xxh_1273687_master.tif","11","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xxh",""
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001h8xz1","ark:/21198/zz001h8xjt","2","Completed","Page","mcafee/masters/21198-zz001h8xz1_1273690_master.tif","12","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 12","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xz1",""
