"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n40","ark:/21198/zz00177mq9","2","Completed","Page","wavav/images/masters/21198-zz00177n40_498745_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n40"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n5h","ark:/21198/zz00177mq9","2","Completed","Page","wavav/images/masters/21198-zz00177n5h_498748_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n5h"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n61","ark:/21198/zz00177msb","2","Completed","Page","wavav/images/masters/21198-zz00177n61_498751_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n61"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n7j","ark:/21198/zz00177msb","2","Completed","Page","wavav/images/masters/21198-zz00177n7j_498754_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n7j"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n82","ark:/21198/zz00177msb","2","Completed","Page","wavav/images/masters/21198-zz00177n82_498757_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n82"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177n9k","ark:/21198/zz00177msb","2","Completed","Page","wavav/images/masters/21198-zz00177n9k_498760_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177n9k"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nb3","ark:/21198/zz00177mvc","2","Completed","Page","wavav/images/masters/21198-zz00177nb3_498763_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nb3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177ncm","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177ncm_498766_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177ncm"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nd4","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177nd4_498769_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nd4"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nfn","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177nfn_498772_master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nfn"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177ng5","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177ng5_498775_master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177ng5"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nhp","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177nhp_498778_master.tif","5","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nhp"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nj6","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177nj6_498781_master.tif","6","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nj6"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177nkq","ark:/21198/zz00177mww","2","Completed","Page","wavav/images/masters/21198-zz00177nkq_498784_master.tif","7","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177nkq"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177pn7","ark:/21198/zz00177mzx","2","Completed","Page","wavav/images/masters/21198-zz00177pn7_498841_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177pn7"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00177ppr","ark:/21198/zz00177mzx","2","Completed","Page","wavav/images/masters/21198-zz00177ppr_498845_master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177ppr"
