Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177mq9,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,,individuals,,,,text,copyrighted,unpublished,Y,Elektra Entertainment|~|Atlantic Records|~|Filmways Pictures|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Pornography--California--Los Angeles|~|Racism|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising|~|Snuff films--California--Los Angeles|~|Pornography--Psychological Aspects|~|Pornography--Political aspects|~|Pornography in popular culture--Social aspects--United States,,eng,,,,,,,,Table of Contents,"June, 1977",,,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177msb,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,,individuals,,,,text,copyrighted,unpublished,Y,Filmways Pictures,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Pornography--California--Los Angeles|~|Racism|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising|~|Snuff films--California--Los Angeles|~|Pornography--Psychological Aspects|~|Pornography--Political aspects|~|Pornography in popular culture--Social aspects--United States,,eng,,,,,,,,Exhibit 1 - Snuff,"June, 1977",,,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177mvc,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,,individuals,,,,text,copyrighted,unpublished,Y,Warner Communications Inc.|~|Elektra Entertainment|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,Atlantic Records,Exhibit 2 - Black and Blue Campaign,"June, 1977",,,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177mww,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,,individuals,,private,,text,copyrighted,unpublished,N,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 3 - Black and Blue Campaign - Clippings and Letter,"June, 1977",,Rights.generalNote: Item contains a letter. Need to obtain permission to publish from original author.,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177mzx,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,,individuals,,private,,text,copyrighted,unpublished,N,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 4 - Black and Blue Campaign - Letters to Atlantic,"June, 1977",,Rights.generalNote: Item contains a letter. Need to obtain permission to publish from original author.,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177n0x,ark:/21198/zz000s2z4b,2,Completed,Work,,6,,,,individuals,,,,text,copyrighted,unpublished,Y,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 5 - Black and Blue Campaign - Letter to Chair of Atlantic Records,"June, 1977",,,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177n1f,ark:/21198/zz000s2z4b,2,Completed,Work,,7,,,,individuals,,private,,text,copyrighted,unpublished,N,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 6 - Black and Blue Campaign - Letters of Support,"June, 1977",,Rights.generalNote: Item contains letters. Need to obtain permission to publish from original author.,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177n2z,ark:/21198/zz000s2z4b,2,Completed,Work,,8,,,,individuals,,,,text,copyrighted,unpublished,Y,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 7 - Black and Blue Campaign - Press Release,"June, 1977",,,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177n3g,ark:/21198/zz000s2z4b,2,Completed,Work,,9,,,,individuals,,private,,text,copyrighted,unpublished,N,Elektra Entertainment|~|Atlantic Records|~|Warner Bros. Records,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Boycotts--California--Los Angeles|~|Boycotts--United States|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Music and violence|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Exhibit 8 - Black and Blue Campaign - Letters to Recording Industry Association,"June, 1977",,Rights.generalNote: Item contains letters. Need to obtain permission to publish from original author.,1977-06,,
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177qd3,ark:/21198/zz000s2z4b,2,Completed,Work,,11,,,,individuals,,private,,text,copyrighted,unpublished,N,National Organization of Women,Los Angeles (Calif.),Women Against Violence Against Women ,Testimony to ICCR (WAVAW)|~|Pornography--California--Los Angeles|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising|~|Pornography--Psychological Aspects|~|Pornography--Political aspects|~|Pornography in popular culture--Social aspects--United States,,eng,,"Dewing, Sue Ann",,,,,,Exhibit 9 - Connection Between Pornography and Rape,"June, 1977",,Rights.generalNote: Item contains a letter. Need to obtain permission to publish from original author.,1977-06,,
