"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Name.subject","Rights.rightsHolderContact","Rights.servicesContact","Subject","Date.normalized","Title","Date.creation","Description.note","Bucketeer State","IIIF Access URL"
"ARPANET Project Notes","ark:/21198/zz002h2dks","ark:/21198/z1kw72rg","","","Page","arpanet/image/pdf_images/21198-zz002h2dks-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw72rg"
"ARPANET Project Notes","ark:/21198/zz002h2dm9","ark:/21198/z1g46b01","","","Page","arpanet/image/pdf_images/21198-zz002h2dm9-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46b01"
"ARPANET Project Notes","ark:/21198/zz002h2dm9","ark:/21198/z1bc5k5z","","","Page","arpanet/image/pdf_images/21198-zz002h2dm9-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5k5z"
"ARPANET Project Notes","ark:/21198/zz002h2dm9","ark:/21198/z16m4tgp","","","Page","arpanet/image/pdf_images/21198-zz002h2dm9-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4tgp"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z12v42t7","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_001.tif","1","","","","","","","","","","","","","","","","Page 1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42t7"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1z628pp","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_002.tif","2","","","","","","","","","","","","","","","","Page 2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z628pp"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1tf1j18","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_003.tif","3","","","","","","","","","","","","","","","","Page 3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1j18"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1pp0scf","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_004.tif","4","","","","","","","","","","","","","","","","Page 4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0scf"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1jx01k6","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_005.tif","5","","","","","","","","","","","","","","","","Page 5","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx01k6"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1f498sb","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_006.tif","6","","","","","","","","","","","","","","","","Page 6","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f498sb"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z19c8j21","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_007.tif","7","","","","","","","","","","","","","","","","Page 7","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8j21"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z15m7sd6","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_008.tif","8","","","","","","","","","","","","","","","","Page 8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7sd6"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z11z5r2r","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_009.tif","9","","","","","","","","","","","","","","","","Page 9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5r2r"
"ARPANET Project Notes","ark:/21198/zz002h2dnt","ark:/21198/z1x657nn","","","Page","arpanet/image/pdf_images/21198-zz002h2dnt-1-master_010.tif","10","","","","","","","","","","","","","","","","Page 10","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x657nn"
