"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z11k0xf2","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xf2",""
"Wingfield (Michael) Collection","ark:/21198/z11r8b56","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8b56",""
"Wingfield (Michael) Collection","ark:/21198/z1x07tnc","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07tnc",""
"Wingfield (Michael) Collection","ark:/21198/z1s772x1","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s772x1",""
"Wingfield (Michael) Collection","ark:/21198/z1ng6b92","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6b92",""
"Wingfield (Michael) Collection","ark:/21198/z1ht48z6","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht48z6",""
"Wingfield (Michael) Collection","ark:/21198/z1d23j93","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23j93",""
"Wingfield (Michael) Collection","ark:/21198/z1892skc","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892skc",""
"Wingfield (Michael) Collection","ark:/21198/z14j21rp","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j21rp",""
"Wingfield (Michael) Collection","ark:/21198/z10s190x","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s190x",""
"Wingfield (Michael) Collection","ark:/21198/z1w10shj","ark:/21198/zz002gxbqp","","","Page","wingfield/image/pdf_images/21198-zz002gxbqp-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10shj",""
