"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z1ck012g","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck012g",""
"Wingfield (Michael) Collection","ark:/21198/z17s98cn","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s98cn",""
"Wingfield (Michael) Collection","ark:/21198/z1418hrk","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418hrk",""
"Wingfield (Michael) Collection","ark:/21198/z10c6gd4","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6gd4",""
"Wingfield (Michael) Collection","ark:/21198/z1vm5zzw","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm5zzw",""
"Wingfield (Michael) Collection","ark:/21198/z1qv576h","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv576h",""
"Wingfield (Michael) Collection","ark:/21198/z1m34gcr","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34gcr",""
"Wingfield (Michael) Collection","ark:/21198/z1gb3qn1","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3qn1",""
"Wingfield (Michael) Collection","ark:/21198/z1bk3000","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3000",""
"Wingfield (Michael) Collection","ark:/21198/z16x0xp6","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x0xp6",""
"Wingfield (Michael) Collection","ark:/21198/z135061g","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_011.tif","11","","","","","","","","","","","","Page 11","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz135061g",""
"Wingfield (Michael) Collection","ark:/21198/z1zc9pm4","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_012.tif","12","","","","","","","","","","","","Page 12","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9pm4",""
"Wingfield (Michael) Collection","ark:/21198/z1tm8xth","ark:/21198/zz002gxc4c","","","Page","wingfield/image/pdf_images/21198-zz002gxc4c-1-master_013.tif","13","","","","","","","","","","","","Page 13","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm8xth",""
