"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Title","Subject","AltTitle.other","Description.note","Summary","Alt ID.local","Date.creation","Date.normalized","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Wingfield (Michael) Collection","ark:/21198/z1wq1qdn","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_001.tif","1","","","","","","","","","","","","Page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1qdn",""
"Wingfield (Michael) Collection","ark:/21198/z1rz0zpx","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_002.tif","2","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz0zpx",""
"Wingfield (Michael) Collection","ark:/21198/z1n6072n","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_003.tif","3","","","","","","","","","","","","Page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n6072n",""
"Wingfield (Michael) Collection","ark:/21198/z1hh85ps","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_004.tif","4","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hh85ps",""
"Wingfield (Michael) Collection","ark:/21198/z1cr7f2t","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_005.tif","5","","","","","","","","","","","","Page 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7f2t",""
"Wingfield (Michael) Collection","ark:/21198/z1806pbd","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_006.tif","6","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806pbd",""
"Wingfield (Michael) Collection","ark:/21198/z1475xjs","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_007.tif","7","","","","","","","","","","","","Page 7","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475xjs",""
"Wingfield (Michael) Collection","ark:/21198/z10g55rj","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_008.tif","8","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g55rj",""
"Wingfield (Michael) Collection","ark:/21198/z1vq4p88","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_009.tif","9","","","","","","","","","","","","Page 9","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4p88",""
"Wingfield (Michael) Collection","ark:/21198/z1qz3xmf","ark:/21198/zz002gxc2b","","","Page","wingfield/image/pdf_images/21198-zz002gxc2b-1-master_010.tif","10","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3xmf",""
